,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,1.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,1.0,2.0
36,2020-02-27,1.0,3.0
37,2020-02-28,3.0,6.0
38,2020-02-29,0.0,6.0
39,2020-03-01,1.0,7.0
40,2020-03-02,5.0,12.0
41,2020-03-03,3.0,15.0
42,2020-03-04,0.0,15.0
43,2020-03-05,6.0,21.0
44,2020-03-06,16.0,37.0
45,2020-03-07,10.0,47.0
46,2020-03-08,9.0,56.0
47,2020-03-09,4.0,60.0
48,2020-03-10,28.0,88.0
49,2020-03-11,-28.0,60.0
50,2020-03-12,21.0,81.0
51,2020-03-13,31.0,112.0
52,2020-03-14,26.0,138.0
53,2020-03-15,39.0,177.0
54,2020-03-16,74.0,251.0
55,2020-03-17,44.0,295.0
56,2020-03-18,76.0,371.0
57,2020-03-19,15.0,386.0
58,2020-03-20,242.0,628.0
59,2020-03-21,215.0,843.0
60,2020-03-22,237.0,1080.0
61,2020-03-23,169.0,1249.0
62,2020-03-24,102.0,1351.0
63,2020-03-25,1117.0,2468.0
64,2020-03-26,520.0,2988.0
65,2020-03-27,433.0,3421.0
66,2020-03-28,480.0,3901.0
67,2020-03-29,532.0,4433.0
68,2020-03-30,546.0,4979.0
69,2020-03-31,738.0,5717.0
70,2020-04-01,696.0,6413.0
71,2020-04-02,719.0,7132.0
72,2020-04-03,597.0,7729.0
73,2020-04-04,428.0,8157.0
74,2020-04-05,583.0,8740.0
75,2020-04-06,451.0,9191.0
76,2020-04-07,377.0,9568.0
77,2020-04-08,338.0,9906.0
78,2020-04-09,343.0,10249.0
79,2020-04-10,358.0,10607.0
80,2020-04-11,345.0,10952.0
81,2020-04-12,552.0,11504.0
82,2020-04-13,438.0,11942.0
83,2020-04-14,399.0,12341.0
84,2020-04-15,311.0,12652.0
85,2020-04-16,296.0,12948.0
86,2020-04-17,298.0,13246.0
87,2020-04-18,291.0,13537.0
88,2020-04-19,276.0,13813.0
89,2020-04-20,299.0,14112.0
90,2020-04-21,282.0,14394.0
91,2020-04-22,225.0,14619.0
92,2020-04-23,276.0,14895.0
93,2020-04-24,248.0,15143.0
94,2020-04-25,159.0,15302.0
95,2020-04-26,83.0,15385.0
96,2020-04-27,128.0,15513.0
97,2020-04-28,159.0,15672.0
98,2020-04-29,82.0,15754.0
99,2020-04-30,142.0,15896.0
100,2020-05-01,116.0,16012.0
101,2020-05-02,57.0,16069.0
102,2020-05-03,27.0,16096.0
103,2020-05-04,53.0,16149.0
104,2020-05-05,32.0,16181.0
105,2020-05-06,65.0,16246.0
106,2020-05-07,61.0,16307.0
107,2020-05-08,33.0,16340.0
108,2020-05-09,19.0,16359.0
109,2020-05-10,29.0,16388.0
110,2020-05-11,39.0,16427.0
111,2020-05-12,23.0,16450.0
112,2020-05-13,39.0,16489.0
113,2020-05-14,22.0,16511.0
114,2020-05-15,12.0,16523.0
115,2020-05-16,5.0,16528.0
116,2020-05-17,15.0,16543.0
117,2020-05-18,27.0,16570.0
118,2020-05-19,22.0,16592.0
119,2020-05-20,15.0,16607.0
120,2020-05-21,17.0,16624.0
121,2020-05-22,19.0,16643.0
122,2020-05-23,5.0,16648.0
123,2020-05-24,13.0,16661.0
124,2020-05-25,22.0,16683.0
125,2020-05-26,50.0,16733.0
126,2020-05-27,40.0,16773.0
127,2020-05-28,77.0,16850.0
128,2020-05-29,113.0,16963.0
129,2020-05-30,29.0,16992.0
130,2020-05-31,87.0,17079.0
131,2020-06-01,100.0,17179.0
132,2020-06-02,121.0,17300.0
