,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,1.0,1.0
9,2020-01-31,0.0,1.0
10,2020-02-01,0.0,1.0
11,2020-02-02,1.0,2.0
12,2020-02-03,0.0,2.0
13,2020-02-04,0.0,2.0
14,2020-02-05,0.0,2.0
15,2020-02-06,0.0,2.0
16,2020-02-07,1.0,3.0
17,2020-02-08,0.0,3.0
18,2020-02-09,0.0,3.0
19,2020-02-10,0.0,3.0
20,2020-02-11,0.0,3.0
21,2020-02-12,0.0,3.0
22,2020-02-13,0.0,3.0
23,2020-02-14,0.0,3.0
24,2020-02-15,0.0,3.0
25,2020-02-16,0.0,3.0
26,2020-02-17,0.0,3.0
27,2020-02-18,0.0,3.0
28,2020-02-19,0.0,3.0
29,2020-02-20,0.0,3.0
30,2020-02-21,0.0,3.0
31,2020-02-22,0.0,3.0
32,2020-02-23,0.0,3.0
33,2020-02-24,0.0,3.0
34,2020-02-25,0.0,3.0
35,2020-02-26,0.0,3.0
36,2020-02-27,0.0,3.0
37,2020-02-28,0.0,3.0
38,2020-02-29,0.0,3.0
39,2020-03-01,0.0,3.0
40,2020-03-02,0.0,3.0
41,2020-03-03,0.0,3.0
42,2020-03-04,0.0,3.0
43,2020-03-05,0.0,3.0
44,2020-03-06,2.0,5.0
45,2020-03-07,1.0,6.0
46,2020-03-08,4.0,10.0
47,2020-03-09,10.0,20.0
48,2020-03-10,13.0,33.0
49,2020-03-11,16.0,49.0
50,2020-03-12,3.0,52.0
51,2020-03-13,12.0,64.0
52,2020-03-14,47.0,111.0
53,2020-03-15,29.0,140.0
54,2020-03-16,2.0,142.0
55,2020-03-17,45.0,187.0
56,2020-03-18,15.0,202.0
57,2020-03-19,15.0,217.0
58,2020-03-20,13.0,230.0
59,2020-03-21,77.0,307.0
60,2020-03-22,73.0,380.0
61,2020-03-23,82.0,462.0
62,2020-03-24,90.0,552.0
63,2020-03-25,84.0,636.0
64,2020-03-26,71.0,707.0
65,2020-03-27,96.0,803.0
66,2020-03-28,272.0,1075.0
67,2020-03-29,343.0,1418.0
68,2020-03-30,128.0,1546.0
69,2020-03-31,538.0,2084.0
70,2020-04-01,227.0,2311.0
71,2020-04-02,322.0,2633.0
72,2020-04-03,385.0,3018.0
73,2020-04-04,76.0,3094.0
74,2020-04-05,152.0,3246.0
75,2020-04-06,414.0,3660.0
76,2020-04-07,104.0,3764.0
77,2020-04-08,106.0,3870.0
78,2020-04-09,206.0,4076.0
79,2020-04-10,119.0,4195.0
80,2020-04-11,233.0,4428.0
81,2020-04-12,220.0,4648.0
82,2020-04-13,284.0,4932.0
83,2020-04-14,291.0,5223.0
84,2020-04-15,230.0,5453.0
85,2020-04-16,207.0,5660.0
86,2020-04-17,218.0,5878.0
87,2020-04-18,209.0,6087.0
88,2020-04-19,172.0,6259.0
89,2020-04-20,200.0,6459.0
90,2020-04-21,140.0,6599.0
91,2020-04-22,111.0,6710.0
92,2020-04-23,271.0,6981.0
93,2020-04-24,211.0,7192.0
94,2020-04-25,102.0,7294.0
95,2020-04-26,285.0,7579.0
96,2020-04-27,198.0,7777.0
97,2020-04-28,181.0,7958.0
98,2020-04-29,254.0,8212.0
99,2020-04-30,276.0,8488.0
100,2020-05-01,284.0,8772.0
101,2020-05-02,156.0,8928.0
102,2020-05-03,295.0,9223.0
103,2020-05-04,262.0,9485.0
104,2020-05-05,199.0,9684.0
105,2020-05-06,320.0,10004.0
106,2020-05-07,339.0,10343.0
107,2020-05-08,120.0,10463.0
108,2020-05-09,147.0,10610.0
109,2020-05-10,184.0,10794.0
110,2020-05-11,292.0,11086.0
111,2020-05-12,264.0,11350.0
112,2020-05-13,268.0,11618.0
113,2020-05-14,258.0,11876.0
114,2020-05-15,215.0,12091.0
115,2020-05-16,214.0,12305.0
116,2020-05-17,208.0,12513.0
117,2020-05-18,205.0,12718.0
118,2020-05-19,224.0,12942.0
119,2020-05-20,279.0,13221.0
120,2020-05-21,213.0,13434.0
121,2020-05-22,163.0,13597.0
122,2020-05-23,180.0,13777.0
123,2020-05-24,258.0,14035.0
124,2020-05-25,284.0,14319.0
125,2020-05-26,350.0,14669.0
126,2020-05-27,380.0,15049.0
127,2020-05-28,539.0,15588.0
128,2020-05-29,1046.0,16634.0
129,2020-05-30,590.0,17224.0
130,2020-05-31,862.0,18086.0
131,2020-06-01,552.0,18638.0
132,2020-06-02,359.0,18997.0
133,2020-06-03,751.0,19748.0
