,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,1.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,2.0,3.0
38,2020-02-29,0.0,3.0
39,2020-03-01,0.0,3.0
40,2020-03-02,0.0,3.0
41,2020-03-03,0.0,3.0
42,2020-03-04,1.0,4.0
43,2020-03-05,2.0,6.0
44,2020-03-06,3.0,9.0
45,2020-03-07,0.0,9.0
46,2020-03-08,6.0,15.0
47,2020-03-09,0.0,15.0
48,2020-03-10,10.0,25.0
49,2020-03-11,20.0,45.0
50,2020-03-12,4.0,49.0
51,2020-03-13,40.0,89.0
52,2020-03-14,34.0,123.0
53,2020-03-15,8.0,131.0
54,2020-03-16,27.0,158.0
55,2020-03-17,26.0,184.0
56,2020-03-18,76.0,260.0
57,2020-03-19,17.0,277.0
58,2020-03-20,31.0,308.0
59,2020-03-21,59.0,367.0
60,2020-03-22,66.0,433.0
61,2020-03-23,143.0,576.0
62,2020-03-24,218.0,794.0
63,2020-03-25,112.0,906.0
64,2020-03-26,123.0,1029.0
65,2020-03-27,263.0,1292.0
66,2020-03-28,160.0,1452.0
67,2020-03-29,363.0,1815.0
68,2020-03-30,294.0,2109.0
69,2020-03-31,136.0,2245.0
70,2020-04-01,215.0,2460.0
71,2020-04-02,278.0,2738.0
72,2020-04-03,445.0,3183.0
73,2020-04-04,430.0,3613.0
74,2020-04-05,251.0,3864.0
75,2020-04-06,193.0,4057.0
76,2020-04-07,360.0,4417.0
77,2020-04-08,344.0,4761.0
78,2020-04-09,441.0,5202.0
79,2020-04-10,265.0,5467.0
80,2020-04-11,523.0,5990.0
81,2020-04-12,310.0,6300.0
82,2020-04-13,333.0,6633.0
83,2020-04-14,246.0,6879.0
84,2020-04-15,337.0,7216.0
85,2020-04-16,491.0,7707.0
86,2020-04-17,360.0,8067.0
87,2020-04-18,351.0,8418.0
88,2020-04-19,328.0,8746.0
89,2020-04-20,190.0,8936.0
90,2020-04-21,306.0,9242.0
91,2020-04-22,468.0,9710.0
92,2020-04-23,386.0,10096.0
93,2020-04-24,321.0,10417.0
94,2020-04-25,218.0,10635.0
95,2020-04-26,401.0,11036.0
96,2020-04-27,303.0,11339.0
97,2020-04-28,277.0,11616.0
98,2020-04-29,362.0,11978.0
99,2020-04-30,262.0,12240.0
100,2020-05-01,327.0,12567.0
101,2020-05-02,165.0,12732.0
102,2020-05-03,431.0,13163.0
103,2020-05-04,349.0,13512.0
104,2020-05-05,325.0,13837.0
105,2020-05-06,270.0,14107.0
106,2020-05-07,392.0,14499.0
107,2020-05-08,312.0,14811.0
108,2020-05-09,320.0,15131.0
109,2020-05-10,231.0,15362.0
110,2020-05-11,226.0,15588.0
111,2020-05-12,190.0,15778.0
112,2020-05-13,224.0,16002.0
113,2020-05-14,245.0,16247.0
114,2020-05-15,190.0,16437.0
115,2020-05-16,267.0,16704.0
116,2020-05-17,167.0,16871.0
117,2020-05-18,165.0,17036.0
118,2020-05-19,155.0,17191.0
119,2020-05-20,196.0,17387.0
120,2020-05-21,198.0,17585.0
121,2020-05-22,127.0,17712.0
122,2020-05-23,145.0,17857.0
123,2020-05-24,213.0,18070.0
124,2020-05-25,213.0,18283.0
125,2020-05-26,146.0,18429.0
126,2020-05-27,165.0,18594.0
127,2020-05-28,197.0,18791.0
128,2020-05-29,191.0,18982.0
129,2020-05-30,151.0,19133.0
130,2020-05-31,124.0,19257.0
131,2020-06-01,141.0,19398.0
132,2020-06-02,119.0,19517.0
