,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,2.0,2.0
10,2020-02-01,0.0,2.0
11,2020-02-02,0.0,2.0
12,2020-02-03,6.0,8.0
13,2020-02-04,0.0,8.0
14,2020-02-05,1.0,9.0
15,2020-02-06,0.0,9.0
16,2020-02-07,0.0,9.0
17,2020-02-08,4.0,13.0
18,2020-02-09,1.0,14.0
19,2020-02-10,0.0,14.0
20,2020-02-11,1.0,15.0
21,2020-02-12,1.0,16.0
22,2020-02-13,1.0,17.0
23,2020-02-14,1.0,18.0
24,2020-02-15,0.0,18.0
25,2020-02-16,0.0,18.0
26,2020-02-17,1.0,19.0
27,2020-02-18,0.0,19.0
28,2020-02-19,1.0,20.0
29,2020-02-20,2.0,22.0
30,2020-02-21,1.0,23.0
31,2020-02-22,0.0,23.0
32,2020-02-23,5.0,28.0
33,2020-02-24,2.0,30.0
34,2020-02-25,4.0,34.0
35,2020-02-26,3.0,37.0
36,2020-02-27,7.0,44.0
37,2020-02-28,12.0,56.0
38,2020-02-29,5.0,61.0
39,2020-03-01,33.0,94.0
40,2020-03-02,40.0,134.0
41,2020-03-03,55.0,189.0
42,2020-03-04,57.0,246.0
43,2020-03-05,49.0,295.0
44,2020-03-06,79.0,374.0
45,2020-03-07,55.0,429.0
46,2020-03-08,54.0,483.0
47,2020-03-09,147.0,630.0
48,2020-03-10,259.0,889.0
49,2020-03-11,412.0,1301.0
50,2020-03-12,489.0,1790.0
51,2020-03-13,480.0,2270.0
52,2020-03-14,364.0,2634.0
53,2020-03-15,443.0,3077.0
54,2020-03-16,615.0,3692.0
55,2020-03-17,770.0,4462.0
56,2020-03-18,1005.0,5467.0
57,2020-03-19,1066.0,6533.0
58,2020-03-20,1258.0,7791.0
59,2020-03-21,1215.0,9006.0
60,2020-03-22,1389.0,10395.0
61,2020-03-23,2349.0,12744.0
62,2020-03-24,2382.0,15126.0
63,2020-03-25,2717.0,17843.0
64,2020-03-26,3127.0,20970.0
65,2020-03-27,3249.0,24219.0
66,2020-03-28,2843.0,27062.0
67,2020-03-29,2892.0,29954.0
68,2020-03-30,4327.0,34281.0
69,2020-03-31,4534.0,38815.0
70,2020-04-01,4974.0,43789.0
71,2020-04-02,4929.0,48718.0
72,2020-04-03,4981.0,53699.0
73,2020-04-04,4073.0,57772.0
74,2020-04-05,3650.0,61422.0
75,2020-04-06,5316.0,66738.0
76,2020-04-07,5486.0,72224.0
77,2020-04-08,5163.0,77387.0
78,2020-04-09,4906.0,82293.0
79,2020-04-10,4367.0,86660.0
80,2020-04-11,3613.0,90273.0
81,2020-04-12,3539.0,93812.0
82,2020-04-13,4205.0,98017.0
83,2020-04-14,4348.0,102365.0
84,2020-04-15,5100.0,107465.0
85,2020-04-16,5343.0,112808.0
86,2020-04-17,4990.0,117798.0
87,2020-04-18,4736.0,122534.0
88,2020-04-19,3860.0,126394.0
89,2020-04-20,4866.0,131260.0
90,2020-04-21,4775.0,136035.0
91,2020-04-22,5505.0,141540.0
92,2020-04-23,5168.0,146708.0
93,2020-04-24,4981.0,151689.0
94,2020-04-25,3764.0,155453.0
95,2020-04-26,3473.0,158926.0
96,2020-04-27,4704.0,163630.0
97,2020-04-28,4727.0,168357.0
98,2020-04-29,5450.0,173807.0
99,2020-04-30,4964.0,178771.0
100,2020-05-01,4730.0,183501.0
101,2020-05-02,3230.0,186731.0
102,2020-05-03,2977.0,189708.0
103,2020-05-04,3383.0,193091.0
104,2020-05-05,3689.0,196780.0
105,2020-05-06,3836.0,200616.0
106,2020-05-07,3771.0,204387.0
107,2020-05-08,3052.0,207439.0
108,2020-05-09,2150.0,209589.0
109,2020-05-10,2322.0,211911.0
110,2020-05-11,3589.0,215500.0
111,2020-05-12,3395.0,218895.0
112,2020-05-13,3300.0,222195.0
113,2020-05-14,2618.0,224813.0
114,2020-05-15,2521.0,227334.0
115,2020-05-16,2072.0,229406.0
116,2020-05-17,1826.0,231232.0
117,2020-05-18,2577.0,233809.0
118,2020-05-19,3058.0,236867.0
119,2020-05-20,2712.0,239579.0
120,2020-05-21,2554.0,242133.0
121,2020-05-22,2041.0,244174.0
122,2020-05-23,1508.0,245682.0
123,2020-05-24,1355.0,247037.0
124,2020-05-25,1613.0,248650.0
125,2020-05-26,1659.0,250309.0
126,2020-05-27,1809.0,252118.0
127,2020-05-28,1736.0,253854.0
128,2020-05-29,1508.0,255362.0
