,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,1.0,1.0
35,2020-02-26,0.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,2.0,3.0
41,2020-03-03,2.0,5.0
42,2020-03-04,7.0,12.0
43,2020-03-05,0.0,12.0
44,2020-03-06,5.0,17.0
45,2020-03-07,0.0,17.0
46,2020-03-08,2.0,19.0
47,2020-03-09,1.0,20.0
48,2020-03-10,0.0,20.0
49,2020-03-11,0.0,20.0
50,2020-03-12,4.0,24.0
51,2020-03-13,2.0,26.0
52,2020-03-14,11.0,37.0
53,2020-03-15,11.0,48.0
54,2020-03-16,6.0,54.0
55,2020-03-17,6.0,60.0
56,2020-03-18,14.0,74.0
57,2020-03-19,13.0,87.0
58,2020-03-20,3.0,90.0
59,2020-03-21,49.0,139.0
60,2020-03-22,62.0,201.0
61,2020-03-23,29.0,230.0
62,2020-03-24,34.0,264.0
63,2020-03-25,38.0,302.0
64,2020-03-26,65.0,367.0
65,2020-03-27,42.0,409.0
66,2020-03-28,45.0,454.0
67,2020-03-29,57.0,511.0
68,2020-03-30,73.0,584.0
69,2020-03-31,132.0,716.0
70,2020-04-01,131.0,847.0
71,2020-04-02,139.0,986.0
72,2020-04-03,185.0,1171.0
73,2020-04-04,80.0,1251.0
74,2020-04-05,69.0,1320.0
75,2020-04-06,103.0,1423.0
76,2020-04-07,45.0,1468.0
77,2020-04-08,104.0,1572.0
78,2020-04-09,94.0,1666.0
79,2020-04-10,95.0,1761.0
80,2020-04-11,64.0,1825.0
81,2020-04-12,89.0,1914.0
82,2020-04-13,69.0,1983.0
83,2020-04-14,87.0,2070.0
84,2020-04-15,90.0,2160.0
85,2020-04-16,108.0,2268.0
86,2020-04-17,150.0,2418.0
87,2020-04-18,116.0,2534.0
88,2020-04-19,95.0,2629.0
89,2020-04-20,89.0,2718.0
90,2020-04-21,93.0,2811.0
91,2020-04-22,99.0,2910.0
92,2020-04-23,97.0,3007.0
93,2020-04-24,120.0,3127.0
94,2020-04-25,129.0,3256.0
95,2020-04-26,126.0,3382.0
96,2020-04-27,135.0,3517.0
97,2020-04-28,132.0,3649.0
98,2020-04-29,199.0,3848.0
99,2020-04-30,158.0,4006.0
100,2020-05-01,148.0,4154.0
101,2020-05-02,141.0,4295.0
102,2020-05-03,179.0,4474.0
103,2020-05-04,174.0,4648.0
104,2020-05-05,190.0,4838.0
105,2020-05-06,159.0,4997.0
106,2020-05-07,185.0,5182.0
107,2020-05-08,187.0,5369.0
108,2020-05-09,189.0,5558.0
109,2020-05-10,165.0,5723.0
110,2020-05-11,168.0,5891.0
111,2020-05-12,176.0,6067.0
112,2020-05-13,186.0,6253.0
113,2020-05-14,189.0,6442.0
114,2020-05-15,187.0,6629.0
115,2020-05-16,192.0,6821.0
116,2020-05-17,198.0,7019.0
117,2020-05-18,182.0,7201.0
118,2020-05-19,176.0,7377.0
119,2020-05-20,165.0,7542.0
120,2020-05-21,186.0,7728.0
121,2020-05-22,190.0,7918.0
122,2020-05-23,195.0,8113.0
123,2020-05-24,193.0,8306.0
124,2020-05-25,197.0,8503.0
125,2020-05-26,194.0,8697.0
126,2020-05-27,160.0,8857.0
127,2020-05-28,140.0,8997.0
128,2020-05-29,137.0,9134.0
129,2020-05-30,133.0,9267.0
130,2020-05-31,127.0,9394.0
131,2020-06-01,119.0,9513.0
132,2020-06-02,113.0,9626.0
133,2020-06-03,107.0,9733.0
