,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,1.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,0.0,1.0
49,2020-03-11,0.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,2.0,3.0
52,2020-03-14,0.0,3.0
53,2020-03-15,0.0,3.0
54,2020-03-16,4.0,7.0
55,2020-03-17,7.0,14.0
56,2020-03-18,0.0,14.0
57,2020-03-19,2.0,16.0
58,2020-03-20,13.0,29.0
59,2020-03-21,18.0,47.0
60,2020-03-22,26.0,73.0
61,2020-03-23,0.0,73.0
62,2020-03-24,24.0,97.0
63,2020-03-25,48.0,145.0
64,2020-03-26,51.0,196.0
65,2020-03-27,114.0,310.0
66,2020-03-28,46.0,356.0
67,2020-03-29,119.0,475.0
68,2020-03-30,73.0,548.0
69,2020-03-31,97.0,645.0
70,2020-04-01,149.0,794.0
71,2020-04-02,103.0,897.0
72,2020-04-03,175.0,1072.0
73,2020-04-04,153.0,1225.0
74,2020-04-05,83.0,1308.0
75,2020-04-06,11.0,1319.0
76,2020-04-07,143.0,1462.0
77,2020-04-08,206.0,1668.0
78,2020-04-09,224.0,1892.0
79,2020-04-10,311.0,2203.0
80,2020-04-11,308.0,2511.0
81,2020-04-12,266.0,2777.0
82,2020-04-13,325.0,3102.0
83,2020-04-14,270.0,3372.0
84,2020-04-15,392.0,3764.0
85,2020-04-16,397.0,4161.0
86,2020-04-17,501.0,4662.0
87,2020-04-18,444.0,5106.0
88,2020-04-19,343.0,5449.0
89,2020-04-20,261.0,5710.0
90,2020-04-21,415.0,6125.0
91,2020-04-22,467.0,6592.0
92,2020-04-23,578.0,7170.0
93,2020-04-24,477.0,7647.0
94,2020-04-25,478.0,8125.0
95,2020-04-26,492.0,8617.0
96,2020-04-27,392.0,9009.0
97,2020-04-28,401.0,9410.0
98,2020-04-29,456.0,9866.0
99,2020-04-30,540.0,10406.0
100,2020-05-01,455.0,10861.0
101,2020-05-02,550.0,11411.0
102,2020-05-03,502.0,11913.0
103,2020-05-04,418.0,12331.0
104,2020-05-05,366.0,12697.0
105,2020-05-06,487.0,13184.0
106,2020-05-07,507.0,13691.0
107,2020-05-08,504.0,14195.0
108,2020-05-09,515.0,14710.0
109,2020-05-10,522.0,15232.0
110,2020-05-11,416.0,15648.0
111,2020-05-12,375.0,16023.0
112,2020-05-13,402.0,16425.0
113,2020-05-14,422.0,16847.0
114,2020-05-15,483.0,17330.0
115,2020-05-16,528.0,17858.0
116,2020-05-17,433.0,18291.0
117,2020-05-18,325.0,18616.0
118,2020-05-19,260.0,18876.0
119,2020-05-20,354.0,19230.0
120,2020-05-21,476.0,19706.0
121,2020-05-22,442.0,20148.0
122,2020-05-23,432.0,20580.0
123,2020-05-24,406.0,20986.0
124,2020-05-25,259.0,21245.0
125,2020-05-26,339.0,21584.0
126,2020-05-27,321.0,21905.0
127,2020-05-28,477.0,22382.0
128,2020-05-29,429.0,22811.0
129,2020-05-30,393.0,23204.0
130,2020-05-31,468.0,23672.0
131,2020-06-01,890.0,24562.0
132,2020-06-02,333.0,24895.0
133,2020-06-03,490.0,25385.0
