,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,1.0,1.0
52,2020-03-14,0.0,1.0
53,2020-03-15,2.0,3.0
54,2020-03-16,0.0,3.0
55,2020-03-17,0.0,3.0
56,2020-03-18,0.0,3.0
57,2020-03-19,4.0,7.0
58,2020-03-20,0.0,7.0
59,2020-03-21,0.0,7.0
60,2020-03-22,8.0,15.0
61,2020-03-23,1.0,16.0
62,2020-03-24,9.0,25.0
63,2020-03-25,3.0,28.0
64,2020-03-26,3.0,31.0
65,2020-03-27,0.0,31.0
66,2020-03-28,7.0,38.0
67,2020-03-29,4.0,42.0
68,2020-03-30,8.0,50.0
69,2020-03-31,9.0,59.0
70,2020-04-01,22.0,81.0
71,2020-04-02,29.0,110.0
72,2020-04-03,12.0,122.0
73,2020-04-04,4.0,126.0
74,2020-04-05,16.0,142.0
75,2020-04-06,16.0,158.0
76,2020-04-07,14.0,172.0
77,2020-04-08,7.0,179.0
78,2020-04-09,5.0,184.0
79,2020-04-10,5.0,189.0
80,2020-04-11,2.0,191.0
81,2020-04-12,6.0,197.0
82,2020-04-13,11.0,208.0
83,2020-04-14,8.0,216.0
84,2020-04-15,9.0,225.0
85,2020-04-16,9.0,234.0
86,2020-04-17,12.0,246.0
87,2020-04-18,16.0,262.0
88,2020-04-19,8.0,270.0
89,2020-04-20,11.0,281.0
90,2020-04-21,15.0,296.0
91,2020-04-22,7.0,303.0
92,2020-04-23,17.0,320.0
93,2020-04-24,16.0,336.0
94,2020-04-25,7.0,343.0
95,2020-04-26,12.0,355.0
96,2020-04-27,8.0,363.0
97,2020-04-28,11.0,374.0
98,2020-04-29,10.0,384.0
99,2020-04-30,12.0,396.0
100,2020-05-01,15.0,411.0
101,2020-05-02,24.0,435.0
102,2020-05-03,30.0,465.0
103,2020-05-04,25.0,490.0
104,2020-05-05,45.0,535.0
105,2020-05-06,47.0,582.0
106,2020-05-07,25.0,607.0
107,2020-05-08,14.0,621.0
108,2020-05-09,28.0,649.0
109,2020-05-10,23.0,672.0
110,2020-05-11,28.0,700.0
111,2020-05-12,15.0,715.0
112,2020-05-13,22.0,737.0
113,2020-05-14,21.0,758.0
114,2020-05-15,23.0,781.0
115,2020-05-16,49.0,830.0
116,2020-05-17,57.0,887.0
117,2020-05-18,25.0,912.0
118,2020-05-19,51.0,963.0
119,2020-05-20,66.0,1029.0
120,2020-05-21,80.0,1109.0
121,2020-05-22,52.0,1161.0
122,2020-05-23,31.0,1192.0
123,2020-05-24,22.0,1214.0
124,2020-05-25,72.0,1286.0
125,2020-05-26,62.0,1348.0
126,2020-05-27,123.0,1471.0
127,2020-05-28,147.0,1618.0
128,2020-05-29,127.0,1745.0
129,2020-05-30,143.0,1888.0
130,2020-05-31,74.0,1962.0
131,2020-06-01,59.0,2021.0
132,2020-06-02,72.0,2093.0
133,2020-06-03,123.0,2216.0
134,2020-06-04,124.0,2340.0
135,2020-06-05,134.0,2474.0
136,2020-06-06,126.0,2600.0
