,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,1.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,0.0,1.0
52,2020-03-14,0.0,1.0
53,2020-03-15,0.0,1.0
54,2020-03-16,0.0,1.0
55,2020-03-17,4.0,5.0
56,2020-03-18,1.0,6.0
57,2020-03-19,3.0,9.0
58,2020-03-20,0.0,9.0
59,2020-03-21,5.0,14.0
60,2020-03-22,0.0,14.0
61,2020-03-23,11.0,25.0
62,2020-03-24,48.0,73.0
63,2020-03-25,7.0,80.0
64,2020-03-26,16.0,96.0
65,2020-03-27,5.0,101.0
66,2020-03-28,0.0,101.0
67,2020-03-29,64.0,165.0
68,2020-03-30,3.0,168.0
69,2020-03-31,11.0,179.0
70,2020-04-01,11.0,190.0
71,2020-04-02,4.0,194.0
72,2020-04-03,24.0,218.0
73,2020-04-04,27.0,245.0
74,2020-04-05,16.0,261.0
75,2020-04-06,62.0,323.0
76,2020-04-07,26.0,349.0
77,2020-04-08,35.0,384.0
78,2020-04-09,60.0,444.0
79,2020-04-10,0.0,444.0
80,2020-04-11,89.0,533.0
81,2020-04-12,41.0,574.0
82,2020-04-13,52.0,626.0
83,2020-04-14,12.0,638.0
84,2020-04-15,0.0,638.0
85,2020-04-16,16.0,654.0
86,2020-04-17,34.0,688.0
87,2020-04-18,113.0,801.0
88,2020-04-19,46.0,847.0
89,2020-04-20,0.0,847.0
90,2020-04-21,69.0,916.0
91,2020-04-22,36.0,952.0
92,2020-04-23,52.0,1004.0
93,2020-04-24,73.0,1077.0
94,2020-04-25,0.0,1077.0
95,2020-04-26,73.0,1150.0
96,2020-04-27,14.0,1164.0
97,2020-04-28,19.0,1183.0
98,2020-04-29,55.0,1238.0
99,2020-04-30,37.0,1275.0
100,2020-05-01,58.0,1333.0
101,2020-05-02,29.0,1362.0
102,2020-05-03,36.0,1398.0
103,2020-05-04,34.0,1432.0
104,2020-05-05,32.0,1464.0
105,2020-05-06,52.0,1516.0
106,2020-05-07,55.0,1571.0
107,2020-05-08,31.0,1602.0
108,2020-05-09,65.0,1667.0
109,2020-05-10,33.0,1700.0
110,2020-05-11,30.0,1730.0
111,2020-05-12,127.0,1857.0
112,2020-05-13,55.0,1912.0
113,2020-05-14,59.0,1971.0
114,2020-05-15,46.0,2017.0
115,2020-05-16,44.0,2061.0
116,2020-05-17,48.0,2109.0
117,2020-05-18,10.0,2119.0
118,2020-05-19,34.0,2153.0
119,2020-05-20,78.0,2231.0
120,2020-05-21,70.0,2301.0
121,2020-05-22,40.0,2341.0
122,2020-05-23,25.0,2366.0
123,2020-05-24,10.0,2376.0
124,2020-05-25,47.0,2423.0
125,2020-05-26,54.0,2477.0
126,2020-05-27,79.0,2556.0
127,2020-05-28,85.0,2641.0
128,2020-05-29,109.0,2750.0
129,2020-05-30,49.0,2799.0
130,2020-05-31,34.0,2833.0
131,2020-06-01,118.0,2951.0
132,2020-06-02,73.0,3024.0
133,2020-06-03,86.0,3110.0
134,2020-06-04,152.0,3262.0
