,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,1.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,5.0,6.0
38,2020-02-29,9.0,15.0
39,2020-03-01,4.0,19.0
40,2020-03-02,6.0,25.0
41,2020-03-03,7.0,32.0
42,2020-03-04,24.0,56.0
43,2020-03-05,31.0,87.0
44,2020-03-06,21.0,108.0
45,2020-03-07,39.0,147.0
46,2020-03-08,29.0,176.0
47,2020-03-09,29.0,205.0
48,2020-03-10,195.0,400.0
49,2020-03-11,198.0,598.0
50,2020-03-12,104.0,702.0
51,2020-03-13,294.0,996.0
52,2020-03-14,94.0,1090.0
53,2020-03-15,131.0,1221.0
54,2020-03-16,112.0,1333.0
55,2020-03-17,130.0,1463.0
56,2020-03-18,87.0,1550.0
57,2020-03-19,196.0,1746.0
58,2020-03-20,168.0,1914.0
59,2020-03-21,204.0,2118.0
60,2020-03-22,267.0,2385.0
61,2020-03-23,236.0,2621.0
62,2020-03-24,242.0,2863.0
63,2020-03-25,221.0,3084.0
64,2020-03-26,285.0,3369.0
65,2020-03-27,386.0,3755.0
66,2020-03-28,260.0,4015.0
67,2020-03-29,269.0,4284.0
68,2020-03-30,161.0,4445.0
69,2020-03-31,196.0,4641.0
70,2020-04-01,222.0,4863.0
71,2020-04-02,284.0,5147.0
72,2020-04-03,223.0,5370.0
73,2020-04-04,180.0,5550.0
74,2020-04-05,137.0,5687.0
75,2020-04-06,178.0,5865.0
76,2020-04-07,221.0,6086.0
77,2020-04-08,0.0,6086.0
78,2020-04-09,125.0,6211.0
79,2020-04-10,103.0,6314.0
80,2020-04-11,95.0,6409.0
81,2020-04-12,116.0,6525.0
82,2020-04-13,78.0,6603.0
83,2020-04-14,20.0,6623.0
84,2020-04-15,117.0,6740.0
85,2020-04-16,156.0,6896.0
86,2020-04-17,41.0,6937.0
87,2020-04-18,99.0,7036.0
88,2020-04-19,42.0,7078.0
89,2020-04-20,78.0,7156.0
90,2020-04-21,35.0,7191.0
91,2020-04-22,147.0,7338.0
92,2020-04-23,63.0,7401.0
93,2020-04-24,62.0,7463.0
94,2020-04-25,36.0,7499.0
95,2020-04-26,28.0,7527.0
96,2020-04-27,72.0,7599.0
97,2020-04-28,61.0,7660.0
98,2020-04-29,50.0,7710.0
99,2020-04-30,28.0,7738.0
100,2020-05-01,45.0,7783.0
101,2020-05-02,26.0,7809.0
102,2020-05-03,38.0,7847.0
103,2020-05-04,57.0,7904.0
104,2020-05-05,51.0,7955.0
105,2020-05-06,41.0,7996.0
106,2020-05-07,38.0,8034.0
107,2020-05-08,36.0,8070.0
108,2020-05-09,29.0,8099.0
109,2020-05-10,6.0,8105.0
110,2020-05-11,27.0,8132.0
111,2020-05-12,25.0,8157.0
112,2020-05-13,18.0,8175.0
113,2020-05-14,21.0,8196.0
114,2020-05-15,23.0,8219.0
115,2020-05-16,18.0,8237.0
116,2020-05-17,12.0,8249.0
117,2020-05-18,8.0,8257.0
118,2020-05-19,10.0,8267.0
119,2020-05-20,14.0,8281.0
120,2020-05-21,28.0,8309.0
121,2020-05-22,23.0,8332.0
122,2020-05-23,14.0,8346.0
123,2020-05-24,6.0,8352.0
124,2020-05-25,12.0,8364.0
125,2020-05-26,19.0,8383.0
126,2020-05-27,18.0,8401.0
127,2020-05-28,10.0,8411.0
128,2020-05-29,11.0,8422.0
129,2020-05-30,15.0,8437.0
130,2020-05-31,3.0,8440.0
131,2020-06-01,6.0,8446.0
132,2020-06-02,9.0,8455.0
