,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,1.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,4.0,5.0
47,2020-03-09,4.0,9.0
48,2020-03-10,0.0,9.0
49,2020-03-11,4.0,13.0
50,2020-03-12,9.0,22.0
51,2020-03-13,1.0,23.0
52,2020-03-14,3.0,26.0
53,2020-03-15,1.0,27.0
54,2020-03-16,8.0,35.0
55,2020-03-17,6.0,41.0
56,2020-03-18,9.0,50.0
57,2020-03-19,19.0,69.0
58,2020-03-20,20.0,89.0
59,2020-03-21,28.0,117.0
60,2020-03-22,17.0,134.0
61,2020-03-23,24.0,158.0
62,2020-03-24,19.0,177.0
63,2020-03-25,24.0,201.0
64,2020-03-26,30.0,231.0
65,2020-03-27,32.0,263.0
66,2020-03-28,32.0,295.0
67,2020-03-29,19.0,314.0
68,2020-03-30,16.0,330.0
69,2020-03-31,17.0,347.0
70,2020-04-01,28.0,375.0
71,2020-04-02,21.0,396.0
72,2020-04-03,20.0,416.0
73,2020-04-04,19.0,435.0
74,2020-04-05,19.0,454.0
75,2020-04-06,13.0,467.0
76,2020-04-07,16.0,483.0
77,2020-04-08,19.0,502.0
78,2020-04-09,37.0,539.0
79,2020-04-10,19.0,558.0
80,2020-04-11,19.0,577.0
81,2020-04-12,18.0,595.0
82,2020-04-13,17.0,612.0
83,2020-04-14,6.0,618.0
84,2020-04-15,8.0,626.0
85,2020-04-16,16.0,642.0
86,2020-04-17,7.0,649.0
87,2020-04-18,6.0,655.0
88,2020-04-19,5.0,660.0
89,2020-04-20,2.0,662.0
90,2020-04-21,7.0,669.0
91,2020-04-22,12.0,681.0
92,2020-04-23,5.0,686.0
93,2020-04-24,1.0,687.0
94,2020-04-25,6.0,693.0
95,2020-04-26,2.0,695.0
96,2020-04-27,2.0,697.0
97,2020-04-28,8.0,705.0
98,2020-04-29,8.0,713.0
99,2020-04-30,6.0,719.0
100,2020-05-01,6.0,725.0
101,2020-05-02,8.0,733.0
102,2020-05-03,6.0,739.0
103,2020-05-04,3.0,742.0
104,2020-05-05,13.0,755.0
105,2020-05-06,6.0,761.0
106,2020-05-07,4.0,765.0
107,2020-05-08,8.0,773.0
108,2020-05-09,7.0,780.0
109,2020-05-10,12.0,792.0
110,2020-05-11,9.0,801.0
111,2020-05-12,3.0,804.0
112,2020-05-13,11.0,815.0
113,2020-05-14,15.0,830.0
114,2020-05-15,13.0,843.0
115,2020-05-16,10.0,853.0
116,2020-05-17,10.0,863.0
117,2020-05-18,3.0,866.0
118,2020-05-19,16.0,882.0
119,2020-05-20,15.0,897.0
120,2020-05-21,6.0,903.0
121,2020-05-22,8.0,911.0
122,2020-05-23,7.0,918.0
123,2020-05-24,12.0,930.0
124,2020-05-25,21.0,951.0
125,2020-05-26,5.0,956.0
126,2020-05-27,28.0,984.0
127,2020-05-28,16.0,1000.0
128,2020-05-29,22.0,1022.0
129,2020-05-30,25.0,1047.0
130,2020-05-31,9.0,1056.0
131,2020-06-01,28.0,1084.0
132,2020-06-02,21.0,1105.0
133,2020-06-03,52.0,1157.0
134,2020-06-04,37.0,1194.0
135,2020-06-05,34.0,1228.0
136,2020-06-06,35.0,1263.0
