,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,1.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,2.0,3.0
49,2020-03-11,0.0,3.0
50,2020-03-12,0.0,3.0
51,2020-03-13,3.0,6.0
52,2020-03-14,6.0,12.0
53,2020-03-15,11.0,23.0
54,2020-03-16,0.0,23.0
55,2020-03-17,7.0,30.0
56,2020-03-18,0.0,30.0
57,2020-03-19,19.0,49.0
58,2020-03-20,17.0,66.0
59,2020-03-21,14.0,80.0
60,2020-03-22,14.0,94.0
61,2020-03-23,15.0,109.0
62,2020-03-24,16.0,125.0
63,2020-03-25,24.0,149.0
64,2020-03-26,28.0,177.0
65,2020-03-27,22.0,199.0
66,2020-03-28,32.0,231.0
67,2020-03-29,32.0,263.0
68,2020-03-30,35.0,298.0
69,2020-03-31,55.0,353.0
70,2020-04-01,70.0,423.0
71,2020-04-02,82.0,505.0
72,2020-04-03,86.0,591.0
73,2020-04-04,161.0,752.0
74,2020-04-05,112.0,864.0
75,2020-04-06,101.0,965.0
76,2020-04-07,91.0,1056.0
77,2020-04-08,118.0,1174.0
78,2020-04-09,115.0,1289.0
79,2020-04-10,149.0,1438.0
80,2020-04-11,122.0,1560.0
81,2020-04-12,102.0,1662.0
82,2020-04-13,50.0,1712.0
83,2020-04-14,222.0,1934.0
84,2020-04-15,115.0,2049.0
85,2020-04-16,105.0,2154.0
86,2020-04-17,110.0,2264.0
87,2020-04-18,114.0,2378.0
88,2020-04-19,94.0,2472.0
89,2020-04-20,76.0,2548.0
90,2020-04-21,66.0,2614.0
91,2020-04-22,164.0,2778.0
92,2020-04-23,148.0,2926.0
93,2020-04-24,184.0,3110.0
94,2020-04-25,194.0,3304.0
95,2020-04-26,104.0,3408.0
96,2020-04-27,73.0,3481.0
97,2020-04-28,157.0,3638.0
98,2020-04-29,133.0,3771.0
99,2020-04-30,126.0,3897.0
100,2020-05-01,83.0,3980.0
101,2020-05-02,72.0,4052.0
102,2020-05-03,69.0,4121.0
103,2020-05-04,127.0,4248.0
104,2020-05-05,115.0,4363.0
105,2020-05-06,113.0,4476.0
106,2020-05-07,129.0,4605.0
107,2020-05-08,123.0,4728.0
108,2020-05-09,139.0,4867.0
109,2020-05-10,60.0,4927.0
110,2020-05-11,68.0,4995.0
111,2020-05-12,159.0,5154.0
112,2020-05-13,252.0,5406.0
113,2020-05-14,147.0,5553.0
114,2020-05-15,192.0,5745.0
115,2020-05-16,189.0,5934.0
116,2020-05-17,126.0,6060.0
117,2020-05-18,78.0,6138.0
118,2020-05-19,202.0,6340.0
119,2020-05-20,213.0,6553.0
120,2020-05-21,151.0,6704.0
121,2020-05-22,143.0,6847.0
122,2020-05-23,147.0,6994.0
123,2020-05-24,99.0,7093.0
124,2020-05-25,54.0,7147.0
125,2020-05-26,158.0,7305.0
126,2020-05-27,232.0,7537.0
127,2020-05-28,188.0,7725.0
128,2020-05-29,171.0,7896.0
129,2020-05-30,202.0,8098.0
130,2020-05-31,153.0,8251.0
131,2020-06-01,109.0,8360.0
132,2020-06-02,188.0,8548.0
133,2020-06-03,247.0,8795.0
