,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,1.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,5.0,6.0
43,2020-03-05,0.0,6.0
44,2020-03-06,0.0,6.0
45,2020-03-07,0.0,6.0
46,2020-03-08,0.0,6.0
47,2020-03-09,0.0,6.0
48,2020-03-10,3.0,9.0
49,2020-03-11,0.0,9.0
50,2020-03-12,3.0,12.0
51,2020-03-13,15.0,27.0
52,2020-03-14,0.0,27.0
53,2020-03-15,0.0,27.0
54,2020-03-16,9.0,36.0
55,2020-03-17,0.0,36.0
56,2020-03-18,15.0,51.0
57,2020-03-19,0.0,51.0
58,2020-03-20,18.0,69.0
59,2020-03-21,7.0,76.0
60,2020-03-22,0.0,76.0
61,2020-03-23,5.0,81.0
62,2020-03-24,0.0,81.0
63,2020-03-25,5.0,86.0
64,2020-03-26,0.0,86.0
65,2020-03-27,8.0,94.0
66,2020-03-28,0.0,94.0
67,2020-03-29,0.0,94.0
68,2020-03-30,58.0,152.0
69,2020-03-31,0.0,152.0
70,2020-04-01,11.0,163.0
71,2020-04-02,141.0,304.0
72,2020-04-03,47.0,351.0
73,2020-04-04,89.0,440.0
74,2020-04-05,122.0,562.0
75,2020-04-06,138.0,700.0
76,2020-04-07,161.0,861.0
77,2020-04-08,205.0,1066.0
78,2020-04-09,420.0,1486.0
79,2020-04-10,495.0,1981.0
80,2020-04-11,245.0,2226.0
81,2020-04-12,352.0,2578.0
82,2020-04-13,341.0,2919.0
83,2020-04-14,362.0,3281.0
84,2020-04-15,447.0,3728.0
85,2020-04-16,476.0,4204.0
86,2020-04-17,575.0,4779.0
87,2020-04-18,518.0,5297.0
88,2020-04-19,510.0,5807.0
89,2020-04-20,457.0,6264.0
90,2020-04-21,459.0,6723.0
91,2020-04-22,558.0,7281.0
92,2020-04-23,741.0,8022.0
93,2020-04-24,751.0,8773.0
94,2020-04-25,817.0,9590.0
95,2020-04-26,873.0,10463.0
96,2020-04-27,826.0,11289.0
97,2020-04-28,919.0,12208.0
98,2020-04-29,973.0,13181.0
99,2020-04-30,846.0,14027.0
100,2020-05-01,890.0,14917.0
101,2020-05-02,911.0,15828.0
102,2020-05-03,877.0,16705.0
103,2020-05-04,784.0,17489.0
104,2020-05-05,861.0,18350.0
105,2020-05-06,905.0,19255.0
106,2020-05-07,913.0,20168.0
107,2020-05-08,933.0,21101.0
108,2020-05-09,951.0,22052.0
109,2020-05-10,921.0,22973.0
110,2020-05-11,933.0,23906.0
111,2020-05-12,967.0,24873.0
112,2020-05-13,952.0,25825.0
113,2020-05-14,947.0,26772.0
114,2020-05-15,958.0,27730.0
115,2020-05-16,951.0,28681.0
116,2020-05-17,969.0,29650.0
117,2020-05-18,922.0,30572.0
118,2020-05-19,936.0,31508.0
119,2020-05-20,918.0,32426.0
120,2020-05-21,945.0,33371.0
121,2020-05-22,932.0,34303.0
122,2020-05-23,941.0,35244.0
123,2020-05-24,954.0,36198.0
124,2020-05-25,946.0,37144.0
125,2020-05-26,915.0,38059.0
126,2020-05-27,897.0,38956.0
127,2020-05-28,902.0,39858.0
128,2020-05-29,906.0,40764.0
129,2020-05-30,894.0,41658.0
130,2020-05-31,898.0,42556.0
131,2020-06-01,847.0,43403.0
132,2020-06-02,852.0,44255.0
133,2020-06-03,861.0,45116.0
