,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,3.0,3.0
51,2020-03-13,1.0,4.0
52,2020-03-14,0.0,4.0
53,2020-03-15,0.0,4.0
54,2020-03-16,0.0,4.0
55,2020-03-17,1.0,5.0
56,2020-03-18,2.0,7.0
57,2020-03-19,4.0,11.0
58,2020-03-20,5.0,16.0
59,2020-03-21,5.0,21.0
60,2020-03-22,14.0,35.0
61,2020-03-23,5.0,40.0
62,2020-03-24,8.0,48.0
63,2020-03-25,9.0,57.0
64,2020-03-26,10.0,67.0
65,2020-03-27,13.0,80.0
66,2020-03-28,39.0,119.0
67,2020-03-29,20.0,139.0
68,2020-03-30,31.0,170.0
69,2020-03-31,16.0,186.0
70,2020-04-01,26.0,212.0
71,2020-04-02,21.0,233.0
72,2020-04-03,36.0,269.0
73,2020-04-04,19.0,288.0
74,2020-04-05,32.0,320.0
75,2020-04-06,30.0,350.0
76,2020-04-07,46.0,396.0
77,2020-04-08,61.0,457.0
78,2020-04-09,58.0,515.0
79,2020-04-10,49.0,564.0
80,2020-04-11,56.0,620.0
81,2020-04-12,49.0,669.0
82,2020-04-13,57.0,726.0
83,2020-04-14,40.0,766.0
84,2020-04-15,48.0,814.0
85,2020-04-16,48.0,862.0
86,2020-04-17,61.0,923.0
87,2020-04-18,63.0,986.0
88,2020-04-19,49.0,1035.0
89,2020-04-20,52.0,1087.0
90,2020-04-21,50.0,1137.0
91,2020-04-22,52.0,1189.0
92,2020-04-23,46.0,1235.0
93,2020-04-24,50.0,1285.0
94,2020-04-25,52.0,1337.0
95,2020-04-26,32.0,1369.0
96,2020-04-27,20.0,1389.0
97,2020-04-28,48.0,1437.0
98,2020-04-29,30.0,1467.0
99,2020-04-30,34.0,1501.0
100,2020-05-01,36.0,1537.0
101,2020-05-02,74.0,1611.0
102,2020-05-03,38.0,1649.0
103,2020-05-04,19.0,1668.0
104,2020-05-05,17.0,1685.0
105,2020-05-06,18.0,1703.0
106,2020-05-07,26.0,1729.0
107,2020-05-08,12.0,1741.0
108,2020-05-09,13.0,1754.0
109,2020-05-10,12.0,1766.0
110,2020-05-11,17.0,1783.0
111,2020-05-12,21.0,1804.0
112,2020-05-13,6.0,1810.0
113,2020-05-14,20.0,1830.0
114,2020-05-15,10.0,1840.0
115,2020-05-16,22.0,1862.0
116,2020-05-17,10.0,1872.0
117,2020-05-18,9.0,1881.0
118,2020-05-19,6.0,1887.0
119,2020-05-20,13.0,1900.0
120,2020-05-21,8.0,1908.0
121,2020-05-22,8.0,1916.0
122,2020-05-23,15.0,1931.0
123,2020-05-24,10.0,1941.0
124,2020-05-25,6.0,1947.0
125,2020-05-26,16.0,1963.0
126,2020-05-27,11.0,1974.0
127,2020-05-28,9.0,1983.0
128,2020-05-29,22.0,2005.0
129,2020-05-30,20.0,2025.0
130,2020-05-31,20.0,2045.0
131,2020-06-01,38.0,2083.0
132,2020-06-02,9.0,2092.0
133,2020-06-03,15.0,2107.0
134,2020-06-04,12.0,2119.0
