,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,2.0,2.0
35,2020-02-26,0.0,2.0
36,2020-02-27,0.0,2.0
37,2020-02-28,2.0,4.0
38,2020-02-29,0.0,4.0
39,2020-03-01,0.0,4.0
40,2020-03-02,1.0,5.0
41,2020-03-03,0.0,5.0
42,2020-03-04,0.0,5.0
43,2020-03-05,1.0,6.0
44,2020-03-06,0.0,6.0
45,2020-03-07,0.0,6.0
46,2020-03-08,0.0,6.0
47,2020-03-09,10.0,16.0
48,2020-03-10,3.0,19.0
49,2020-03-11,1.0,20.0
50,2020-03-12,8.0,28.0
51,2020-03-13,3.0,31.0
52,2020-03-14,22.0,53.0
53,2020-03-15,83.0,136.0
54,2020-03-16,100.0,236.0
55,2020-03-17,63.0,299.0
56,2020-03-18,155.0,454.0
57,2020-03-19,47.0,501.0
58,2020-03-20,229.0,730.0
59,2020-03-21,46.0,776.0
60,2020-03-22,99.0,875.0
61,2020-03-23,97.0,972.0
62,2020-03-24,91.0,1063.0
63,2020-03-25,138.0,1201.0
64,2020-03-26,172.0,1373.0
65,2020-03-27,122.0,1495.0
66,2020-03-28,102.0,1597.0
67,2020-03-29,120.0,1717.0
68,2020-03-30,221.0,1938.0
69,2020-03-31,180.0,2118.0
70,2020-04-01,303.0,2421.0
71,2020-04-02,265.0,2686.0
72,2020-04-03,132.0,2818.0
73,2020-04-04,339.0,3157.0
74,2020-04-05,609.0,3766.0
75,2020-04-06,269.0,4035.0
76,2020-04-07,228.0,4263.0
77,2020-04-08,226.0,4489.0
78,2020-04-09,206.0,4695.0
79,2020-04-10,316.0,5011.0
80,2020-04-11,219.0,5230.0
81,2020-04-12,266.0,5496.0
82,2020-04-13,341.0,5837.0
83,2020-04-14,546.0,6383.0
84,2020-04-15,536.0,6919.0
85,2020-04-16,106.0,7025.0
86,2020-04-17,613.0,7638.0
87,2020-04-18,710.0,8348.0
88,2020-04-19,70.0,8418.0
89,2020-04-20,1147.0,9565.0
90,2020-04-21,511.0,10076.0
91,2020-04-22,1079.0,11155.0
92,2020-04-23,785.0,11940.0
93,2020-04-24,783.0,12723.0
94,2020-04-25,605.0,13328.0
95,2020-04-26,587.0,13915.0
96,2020-04-27,697.0,14612.0
97,2020-04-28,913.0,15525.0
98,2020-04-29,1292.0,16817.0
99,2020-04-30,1297.0,18114.0
100,2020-05-01,989.0,19103.0
101,2020-05-02,981.0,20084.0
102,2020-05-03,857.0,20941.0
103,2020-05-04,1108.0,22049.0
104,2020-05-05,2024.0,24073.0
105,2020-05-06,571.0,24644.0
106,2020-05-07,1791.0,26435.0
107,2020-05-08,2301.0,28736.0
108,2020-05-09,1598.0,30334.0
109,2020-05-10,1747.0,32081.0
110,2020-05-11,2255.0,34336.0
111,2020-05-12,962.0,35298.0
112,2020-05-13,490.0,35788.0
113,2020-05-14,3011.0,38799.0
114,2020-05-15,0.0,38799.0
115,2020-05-16,1352.0,40151.0
116,2020-05-17,1974.0,42125.0
117,2020-05-18,1841.0,43966.0
118,2020-05-19,1932.0,45898.0
119,2020-05-20,2193.0,48091.0
120,2020-05-21,2603.0,50694.0
121,2020-05-22,1743.0,52437.0
122,2020-05-23,2164.0,54601.0
123,2020-05-24,1748.0,56349.0
124,2020-05-25,1356.0,57705.0
125,2020-05-26,1446.0,59151.0
126,2020-05-27,2076.0,61227.0
127,2020-05-28,2801.0,64028.0
128,2020-05-29,2429.0,66457.0
129,2020-05-30,3039.0,69496.0
130,2020-05-31,2964.0,72460.0
131,2020-06-01,3938.0,76398.0
