,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,4.0,4.0
8,2020-01-30,0.0,4.0
9,2020-01-31,0.0,4.0
10,2020-02-01,0.0,4.0
11,2020-02-02,1.0,5.0
12,2020-02-03,0.0,5.0
13,2020-02-04,0.0,5.0
14,2020-02-05,0.0,5.0
15,2020-02-06,0.0,5.0
16,2020-02-07,0.0,5.0
17,2020-02-08,2.0,7.0
18,2020-02-09,0.0,7.0
19,2020-02-10,1.0,8.0
20,2020-02-11,0.0,8.0
21,2020-02-12,0.0,8.0
22,2020-02-13,0.0,8.0
23,2020-02-14,0.0,8.0
24,2020-02-15,0.0,8.0
25,2020-02-16,1.0,9.0
26,2020-02-17,0.0,9.0
27,2020-02-18,0.0,9.0
28,2020-02-19,0.0,9.0
29,2020-02-20,0.0,9.0
30,2020-02-21,0.0,9.0
31,2020-02-22,4.0,13.0
32,2020-02-23,0.0,13.0
33,2020-02-24,0.0,13.0
34,2020-02-25,0.0,13.0
35,2020-02-26,0.0,13.0
36,2020-02-27,0.0,13.0
37,2020-02-28,6.0,19.0
38,2020-02-29,2.0,21.0
39,2020-03-01,0.0,21.0
40,2020-03-02,0.0,21.0
41,2020-03-03,6.0,27.0
42,2020-03-04,0.0,27.0
43,2020-03-05,2.0,29.0
44,2020-03-06,0.0,29.0
45,2020-03-07,16.0,45.0
46,2020-03-08,0.0,45.0
47,2020-03-09,0.0,45.0
48,2020-03-10,29.0,74.0
49,2020-03-11,0.0,74.0
50,2020-03-12,11.0,85.0
51,2020-03-13,0.0,85.0
52,2020-03-14,0.0,85.0
53,2020-03-15,13.0,98.0
54,2020-03-16,0.0,98.0
55,2020-03-17,0.0,98.0
56,2020-03-18,15.0,113.0
57,2020-03-19,27.0,140.0
58,2020-03-20,0.0,140.0
59,2020-03-21,13.0,153.0
60,2020-03-22,0.0,153.0
61,2020-03-23,45.0,198.0
62,2020-03-24,50.0,248.0
63,2020-03-25,85.0,333.0
64,2020-03-26,0.0,333.0
65,2020-03-27,72.0,405.0
66,2020-03-28,63.0,468.0
67,2020-03-29,102.0,570.0
68,2020-03-30,41.0,611.0
69,2020-03-31,53.0,664.0
70,2020-04-01,150.0,814.0
71,2020-04-02,210.0,1024.0
72,2020-04-03,240.0,1264.0
73,2020-04-04,241.0,1505.0
74,2020-04-05,294.0,1799.0
75,2020-04-06,277.0,2076.0
76,2020-04-07,283.0,2359.0
77,2020-04-08,300.0,2659.0
78,2020-04-09,331.0,2990.0
79,2020-04-10,370.0,3360.0
80,2020-04-11,376.0,3736.0
81,2020-04-12,387.0,4123.0
82,2020-04-13,398.0,4521.0
83,2020-04-14,412.0,4933.0
84,2020-04-15,432.0,5365.0
85,2020-04-16,460.0,5825.0
86,2020-04-17,477.0,6302.0
87,2020-04-18,0.0,6302.0
88,2020-04-19,479.0,6781.0
89,2020-04-20,484.0,7265.0
90,2020-04-21,490.0,7755.0
91,2020-04-22,483.0,8238.0
92,2020-04-23,518.0,8756.0
93,2020-04-24,525.0,9281.0
94,2020-04-25,532.0,9813.0
95,2020-04-26,536.0,10349.0
96,2020-04-27,490.0,10839.0
97,2020-04-28,541.0,11380.0
98,2020-04-29,549.0,11929.0
99,2020-04-30,552.0,12481.0
100,2020-05-01,557.0,13038.0
101,2020-05-02,561.0,13599.0
102,2020-05-03,564.0,14163.0
103,2020-05-04,567.0,14730.0
104,2020-05-05,462.0,15192.0
105,2020-05-06,546.0,15738.0
106,2020-05-07,502.0,16240.0
107,2020-05-08,553.0,16793.0
108,2020-05-09,624.0,17417.0
109,2020-05-10,781.0,18198.0
110,2020-05-11,680.0,18878.0
111,2020-05-12,783.0,19661.0
112,2020-05-13,725.0,20386.0
113,2020-05-14,698.0,21084.0
114,2020-05-15,747.0,21831.0
115,2020-05-16,796.0,22627.0
116,2020-05-17,731.0,23358.0
117,2020-05-18,832.0,24190.0
118,2020-05-19,873.0,25063.0
119,2020-05-20,941.0,26004.0
120,2020-05-21,894.0,26898.0
121,2020-05-22,994.0,27892.0
122,2020-05-23,812.0,28704.0
123,2020-05-24,781.0,29485.0
124,2020-05-25,822.0,30307.0
125,2020-05-26,779.0,31086.0
126,2020-05-27,883.0,31969.0
127,2020-05-28,563.0,32532.0
128,2020-05-29,638.0,33170.0
129,2020-05-30,726.0,33896.0
130,2020-05-31,661.0,34557.0
131,2020-06-01,635.0,35192.0
132,2020-06-02,596.0,35788.0
133,2020-06-03,571.0,36359.0
