,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,1.0,1.0
11,2020-02-02,0.0,1.0
12,2020-02-03,0.0,1.0
13,2020-02-04,0.0,1.0
14,2020-02-05,0.0,1.0
15,2020-02-06,0.0,1.0
16,2020-02-07,0.0,1.0
17,2020-02-08,0.0,1.0
18,2020-02-09,1.0,2.0
19,2020-02-10,0.0,2.0
20,2020-02-11,0.0,2.0
21,2020-02-12,0.0,2.0
22,2020-02-13,0.0,2.0
23,2020-02-14,0.0,2.0
24,2020-02-15,0.0,2.0
25,2020-02-16,0.0,2.0
26,2020-02-17,0.0,2.0
27,2020-02-18,0.0,2.0
28,2020-02-19,0.0,2.0
29,2020-02-20,0.0,2.0
30,2020-02-21,0.0,2.0
31,2020-02-22,0.0,2.0
32,2020-02-23,0.0,2.0
33,2020-02-24,0.0,2.0
34,2020-02-25,4.0,6.0
35,2020-02-26,7.0,13.0
36,2020-02-27,2.0,15.0
37,2020-02-28,17.0,32.0
38,2020-02-29,13.0,45.0
39,2020-03-01,39.0,84.0
40,2020-03-02,36.0,120.0
41,2020-03-03,45.0,165.0
42,2020-03-04,57.0,222.0
43,2020-03-05,37.0,259.0
44,2020-03-06,141.0,400.0
45,2020-03-07,100.0,500.0
46,2020-03-08,173.0,673.0
47,2020-03-09,400.0,1073.0
48,2020-03-10,622.0,1695.0
49,2020-03-11,582.0,2277.0
50,2020-03-12,0.0,2277.0
51,2020-03-13,2955.0,5232.0
52,2020-03-14,1159.0,6391.0
53,2020-03-15,1407.0,7798.0
54,2020-03-16,2144.0,9942.0
55,2020-03-17,1806.0,11748.0
56,2020-03-18,2162.0,13910.0
57,2020-03-19,4053.0,17963.0
58,2020-03-20,2447.0,20410.0
59,2020-03-21,4964.0,25374.0
60,2020-03-22,3394.0,28768.0
61,2020-03-23,6368.0,35136.0
62,2020-03-24,4749.0,39885.0
63,2020-03-25,9630.0,49515.0
64,2020-03-26,8271.0,57786.0
65,2020-03-27,7933.0,65719.0
66,2020-03-28,7516.0,73235.0
67,2020-03-29,6875.0,80110.0
68,2020-03-30,7846.0,87956.0
69,2020-03-31,7967.0,95923.0
70,2020-04-01,8195.0,104118.0
71,2020-04-02,7947.0,112065.0
72,2020-04-03,7134.0,119199.0
73,2020-04-04,6969.0,126168.0
74,2020-04-05,5478.0,131646.0
75,2020-04-06,5029.0,136675.0
76,2020-04-07,5267.0,141942.0
77,2020-04-08,6278.0,148220.0
78,2020-04-09,5002.0,153222.0
79,2020-04-10,5051.0,158273.0
80,2020-04-11,4754.0,163027.0
81,2020-04-12,3804.0,166831.0
82,2020-04-13,3268.0,170099.0
83,2020-04-14,2442.0,172541.0
84,2020-04-15,5103.0,177644.0
85,2020-04-16,7304.0,184948.0
86,2020-04-17,5891.0,190839.0
87,2020-04-18,887.0,191726.0
88,2020-04-19,6948.0,198674.0
89,2020-04-20,1536.0,200210.0
90,2020-04-21,3968.0,204178.0
91,2020-04-22,4211.0,208389.0
92,2020-04-23,4635.0,213024.0
93,2020-04-24,-10034.0,202990.0
94,2020-04-25,2915.0,205905.0
95,2020-04-26,1729.0,207634.0
96,2020-04-27,1831.0,209465.0
97,2020-04-28,1308.0,210773.0
98,2020-04-29,2144.0,212917.0
99,2020-04-30,518.0,213435.0
100,2020-05-01,1781.0,215216.0
101,2020-05-02,1366.0,216582.0
102,2020-05-03,884.0,217466.0
103,2020-05-04,545.0,218011.0
104,2020-05-05,1318.0,219329.0
105,2020-05-06,996.0,220325.0
106,2020-05-07,1122.0,221447.0
107,2020-05-08,1410.0,222857.0
108,2020-05-09,721.0,223578.0
109,2020-05-10,772.0,224350.0
110,2020-05-11,3086.0,227436.0
111,2020-05-12,594.0,228030.0
112,2020-05-13,661.0,228691.0
113,2020-05-14,849.0,229540.0
114,2020-05-15,643.0,230183.0
115,2020-05-16,515.0,230698.0
116,2020-05-17,0.0,230698.0
117,2020-05-18,908.0,231606.0
118,2020-05-19,431.0,232037.0
119,2020-05-20,518.0,232555.0
120,2020-05-21,482.0,233037.0
121,2020-05-22,1787.0,234824.0
122,2020-05-23,466.0,235290.0
123,2020-05-24,482.0,235772.0
124,2020-05-25,-372.0,235400.0
125,2020-05-26,859.0,236259.0
126,2020-05-27,0.0,236259.0
127,2020-05-28,1647.0,237906.0
128,2020-05-29,658.0,238564.0
