,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,1.0,1.0
39,2020-03-01,2.0,3.0
40,2020-03-02,0.0,3.0
41,2020-03-03,4.0,7.0
42,2020-03-04,1.0,8.0
43,2020-03-05,0.0,8.0
44,2020-03-06,0.0,8.0
45,2020-03-07,0.0,8.0
46,2020-03-08,7.0,15.0
47,2020-03-09,3.0,18.0
48,2020-03-10,6.0,24.0
49,2020-03-11,238.0,262.0
50,2020-03-12,0.0,262.0
51,2020-03-13,58.0,320.0
52,2020-03-14,17.0,337.0
53,2020-03-15,64.0,401.0
54,2020-03-16,38.0,439.0
55,2020-03-17,0.0,439.0
56,2020-03-18,13.0,452.0
57,2020-03-19,8.0,460.0
58,2020-03-20,10.0,470.0
59,2020-03-21,11.0,481.0
60,2020-03-22,13.0,494.0
61,2020-03-23,7.0,501.0
62,2020-03-24,25.0,526.0
63,2020-03-25,11.0,537.0
64,2020-03-26,12.0,549.0
65,2020-03-27,13.0,562.0
66,2020-03-28,28.0,590.0
67,2020-03-29,44.0,634.0
68,2020-03-30,59.0,693.0
69,2020-03-31,88.0,781.0
70,2020-04-01,54.0,835.0
71,2020-04-02,114.0,949.0
72,2020-04-03,126.0,1075.0
73,2020-04-04,250.0,1325.0
74,2020-04-05,279.0,1604.0
75,2020-04-06,228.0,1832.0
76,2020-04-07,225.0,2057.0
77,2020-04-08,153.0,2210.0
78,2020-04-09,166.0,2376.0
79,2020-04-10,136.0,2512.0
80,2020-04-11,216.0,2728.0
81,2020-04-12,251.0,2979.0
82,2020-04-13,252.0,3231.0
83,2020-04-14,197.0,3428.0
84,2020-04-15,283.0,3711.0
85,2020-04-16,392.0,4103.0
86,2020-04-17,560.0,4663.0
87,2020-04-18,345.0,5008.0
88,2020-04-19,440.0,5448.0
89,2020-04-20,567.0,6015.0
90,2020-04-21,518.0,6533.0
91,2020-04-22,608.0,7141.0
92,2020-04-23,623.0,7764.0
93,2020-04-24,761.0,8525.0
94,2020-04-25,833.0,9358.0
95,2020-04-26,929.0,10287.0
96,2020-04-27,957.0,11244.0
97,2020-04-28,677.0,11921.0
98,2020-04-29,643.0,12564.0
99,2020-04-30,845.0,13409.0
100,2020-05-01,687.0,14096.0
101,2020-05-02,776.0,14872.0
102,2020-05-03,679.0,15551.0
103,2020-05-04,640.0,16191.0
104,2020-05-05,951.0,17142.0
105,2020-05-06,830.0,17972.0
106,2020-05-07,918.0,18890.0
107,2020-05-08,1311.0,20201.0
108,2020-05-09,1130.0,21331.0
109,2020-05-10,1189.0,22520.0
110,2020-05-11,1103.0,23623.0
111,2020-05-12,1526.0,25149.0
112,2020-05-13,1390.0,26539.0
113,2020-05-14,1733.0,28272.0
114,2020-05-15,1153.0,29425.0
115,2020-05-16,1547.0,30972.0
116,2020-05-17,1632.0,32604.0
117,2020-05-18,1365.0,33969.0
118,2020-05-19,1637.0,35606.0
119,2020-05-20,1491.0,37097.0
120,2020-05-21,1554.0,38651.0
121,2020-05-22,1830.0,40481.0
122,2020-05-23,1732.0,42213.0
123,2020-05-24,1501.0,43714.0
124,2020-05-25,1751.0,45465.0
125,2020-05-26,1742.0,47207.0
126,2020-05-27,1740.0,48947.0
127,2020-05-28,1967.0,50914.0
128,2020-05-29,1993.0,52907.0
129,2020-05-30,2355.0,55262.0
130,2020-05-31,1648.0,56910.0
131,2020-06-01,1523.0,58433.0
