,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,1.0,1.0
8,2020-01-30,0.0,1.0
9,2020-01-31,0.0,1.0
10,2020-02-01,0.0,1.0
11,2020-02-02,0.0,1.0
12,2020-02-03,0.0,1.0
13,2020-02-04,0.0,1.0
14,2020-02-05,0.0,1.0
15,2020-02-06,0.0,1.0
16,2020-02-07,0.0,1.0
17,2020-02-08,0.0,1.0
18,2020-02-09,0.0,1.0
19,2020-02-10,0.0,1.0
20,2020-02-11,0.0,1.0
21,2020-02-12,0.0,1.0
22,2020-02-13,0.0,1.0
23,2020-02-14,0.0,1.0
24,2020-02-15,0.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,0.0,1.0
28,2020-02-19,0.0,1.0
29,2020-02-20,0.0,1.0
30,2020-02-21,0.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,1.0,2.0
36,2020-02-27,0.0,2.0
37,2020-02-28,0.0,2.0
38,2020-02-29,1.0,3.0
39,2020-03-01,3.0,6.0
40,2020-03-02,0.0,6.0
41,2020-03-03,0.0,6.0
42,2020-03-04,0.0,6.0
43,2020-03-05,6.0,12.0
44,2020-03-06,3.0,15.0
45,2020-03-07,0.0,15.0
46,2020-03-08,8.0,23.0
47,2020-03-09,7.0,30.0
48,2020-03-10,10.0,40.0
49,2020-03-11,19.0,59.0
50,2020-03-12,0.0,59.0
51,2020-03-13,96.0,155.0
52,2020-03-14,70.0,225.0
53,2020-03-15,19.0,244.0
54,2020-03-16,33.0,277.0
55,2020-03-17,44.0,321.0
56,2020-03-18,15.0,336.0
57,2020-03-19,64.0,400.0
58,2020-03-20,50.0,450.0
59,2020-03-21,73.0,523.0
60,2020-03-22,103.0,626.0
61,2020-03-23,74.0,700.0
62,2020-03-24,92.0,792.0
63,2020-03-25,88.0,880.0
64,2020-03-26,78.0,958.0
65,2020-03-27,83.0,1041.0
66,2020-03-28,126.0,1167.0
67,2020-03-29,73.0,1240.0
68,2020-03-30,112.0,1352.0
69,2020-03-31,66.0,1418.0
70,2020-04-01,28.0,1446.0
71,2020-04-02,72.0,1518.0
72,2020-04-03,97.0,1615.0
73,2020-04-04,267.0,1882.0
74,2020-04-05,45.0,1927.0
75,2020-04-06,249.0,2176.0
76,2020-04-07,132.0,2308.0
77,2020-04-08,179.0,2487.0
78,2020-04-09,118.0,2605.0
79,2020-04-10,164.0,2769.0
80,2020-04-11,136.0,2905.0
81,2020-04-12,69.0,2974.0
82,2020-04-13,90.0,3064.0
83,2020-04-14,97.0,3161.0
84,2020-04-15,76.0,3237.0
85,2020-04-16,132.0,3369.0
86,2020-04-17,120.0,3489.0
87,2020-04-18,192.0,3681.0
88,2020-04-19,102.0,3783.0
89,2020-04-20,85.0,3868.0
90,2020-04-21,146.0,4014.0
91,2020-04-22,115.0,4129.0
92,2020-04-23,155.0,4284.0
93,2020-04-24,111.0,4395.0
94,2020-04-25,80.0,4475.0
95,2020-04-26,101.0,4576.0
96,2020-04-27,119.0,4695.0
97,2020-04-28,45.0,4740.0
98,2020-04-29,166.0,4906.0
99,2020-04-30,89.0,4995.0
100,2020-05-01,56.0,5051.0
101,2020-05-02,125.0,5176.0
102,2020-05-03,78.0,5254.0
103,2020-05-04,73.0,5327.0
104,2020-05-05,85.0,5412.0
105,2020-05-06,161.0,5573.0
106,2020-05-07,100.0,5673.0
107,2020-05-08,65.0,5738.0
108,2020-05-09,142.0,5880.0
109,2020-05-10,82.0,5962.0
110,2020-05-11,22.0,5984.0
111,2020-05-12,19.0,6003.0
112,2020-05-13,51.0,6054.0
113,2020-05-14,91.0,6145.0
114,2020-05-15,83.0,6228.0
115,2020-05-16,58.0,6286.0
116,2020-05-17,61.0,6347.0
117,2020-05-18,33.0,6380.0
118,2020-05-19,19.0,6399.0
119,2020-05-20,44.0,6443.0
120,2020-05-21,50.0,6493.0
121,2020-05-22,44.0,6537.0
122,2020-05-23,31.0,6568.0
123,2020-05-24,11.0,6579.0
124,2020-05-25,20.0,6599.0
125,2020-05-26,29.0,6628.0
126,2020-05-27,64.0,6692.0
127,2020-05-28,51.0,6743.0
128,2020-05-29,33.0,6776.0
129,2020-05-30,50.0,6826.0
130,2020-05-31,33.0,6859.0
131,2020-06-01,26.0,6885.0
132,2020-06-02,2.0,6887.0
133,2020-06-03,24.0,6911.0
