,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,1.0,1.0
9,2020-01-31,0.0,1.0
10,2020-02-01,0.0,1.0
11,2020-02-02,1.0,2.0
12,2020-02-03,1.0,3.0
13,2020-02-04,0.0,3.0
14,2020-02-05,0.0,3.0
15,2020-02-06,0.0,3.0
16,2020-02-07,0.0,3.0
17,2020-02-08,0.0,3.0
18,2020-02-09,0.0,3.0
19,2020-02-10,0.0,3.0
20,2020-02-11,0.0,3.0
21,2020-02-12,0.0,3.0
22,2020-02-13,0.0,3.0
23,2020-02-14,0.0,3.0
24,2020-02-15,0.0,3.0
25,2020-02-16,0.0,3.0
26,2020-02-17,0.0,3.0
27,2020-02-18,0.0,3.0
28,2020-02-19,0.0,3.0
29,2020-02-20,0.0,3.0
30,2020-02-21,0.0,3.0
31,2020-02-22,0.0,3.0
32,2020-02-23,0.0,3.0
33,2020-02-24,0.0,3.0
34,2020-02-25,0.0,3.0
35,2020-02-26,0.0,3.0
36,2020-02-27,0.0,3.0
37,2020-02-28,0.0,3.0
38,2020-02-29,0.0,3.0
39,2020-03-01,0.0,3.0
40,2020-03-02,2.0,5.0
41,2020-03-03,0.0,5.0
42,2020-03-04,23.0,28.0
43,2020-03-05,2.0,30.0
44,2020-03-06,1.0,31.0
45,2020-03-07,3.0,34.0
46,2020-03-08,5.0,39.0
47,2020-03-09,4.0,43.0
48,2020-03-10,13.0,56.0
49,2020-03-11,6.0,62.0
50,2020-03-12,11.0,73.0
51,2020-03-13,9.0,82.0
52,2020-03-14,20.0,102.0
53,2020-03-15,11.0,113.0
54,2020-03-16,6.0,119.0
55,2020-03-17,23.0,142.0
56,2020-03-18,14.0,156.0
57,2020-03-19,38.0,194.0
58,2020-03-20,50.0,244.0
59,2020-03-21,86.0,330.0
60,2020-03-22,66.0,396.0
61,2020-03-23,103.0,499.0
62,2020-03-24,37.0,536.0
63,2020-03-25,121.0,657.0
64,2020-03-26,70.0,727.0
65,2020-03-27,160.0,887.0
66,2020-03-28,100.0,987.0
67,2020-03-29,37.0,1024.0
68,2020-03-30,227.0,1251.0
69,2020-03-31,146.0,1397.0
70,2020-04-01,601.0,1998.0
71,2020-04-02,545.0,2543.0
72,2020-04-03,24.0,2567.0
73,2020-04-04,515.0,3082.0
74,2020-04-05,506.0,3588.0
75,2020-04-06,1190.0,4778.0
76,2020-04-07,533.0,5311.0
77,2020-04-08,605.0,5916.0
78,2020-04-09,809.0,6725.0
79,2020-04-10,873.0,7598.0
80,2020-04-11,848.0,8446.0
81,2020-04-12,759.0,9205.0
82,2020-04-13,1248.0,10453.0
83,2020-04-14,1034.0,11487.0
84,2020-04-15,835.0,12322.0
85,2020-04-16,1108.0,13430.0
86,2020-04-17,922.0,14352.0
87,2020-04-18,1370.0,15722.0
88,2020-04-19,1893.0,17615.0
89,2020-04-20,924.0,18539.0
90,2020-04-21,1541.0,20080.0
91,2020-04-22,1290.0,21370.0
92,2020-04-23,1707.0,23077.0
93,2020-04-24,1453.0,24530.0
94,2020-04-25,1753.0,26283.0
95,2020-04-26,1607.0,27890.0
96,2020-04-27,1561.0,29451.0
97,2020-04-28,1873.0,31324.0
98,2020-04-29,1738.0,33062.0
99,2020-04-30,1801.0,34863.0
100,2020-05-01,2394.0,37257.0
101,2020-05-02,2442.0,39699.0
102,2020-05-03,2806.0,42505.0
103,2020-05-04,3932.0,46437.0
104,2020-05-05,2963.0,49400.0
105,2020-05-06,3587.0,52987.0
106,2020-05-07,3364.0,56351.0
107,2020-05-08,3344.0,59695.0
108,2020-05-09,3113.0,62808.0
109,2020-05-10,4353.0,67161.0
110,2020-05-11,3607.0,70768.0
111,2020-05-12,3524.0,74292.0
112,2020-05-13,3763.0,78055.0
113,2020-05-14,3942.0,81997.0
114,2020-05-15,3787.0,85784.0
115,2020-05-16,4864.0,90648.0
116,2020-05-17,5050.0,95698.0
117,2020-05-18,4630.0,100328.0
118,2020-05-19,6147.0,106475.0
119,2020-05-20,5553.0,112028.0
120,2020-05-21,6198.0,118226.0
121,2020-05-22,6568.0,124794.0
122,2020-05-23,6629.0,131423.0
123,2020-05-24,7113.0,138536.0
124,2020-05-25,6414.0,144950.0
125,2020-05-26,5843.0,150793.0
126,2020-05-27,7293.0,158086.0
127,2020-05-28,7300.0,165386.0
128,2020-05-29,8105.0,173491.0
129,2020-05-30,8336.0,181827.0
130,2020-05-31,8782.0,190609.0
