,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,1.0,1.0
34,2020-02-25,22.0,23.0
35,2020-02-26,10.0,33.0
36,2020-02-27,0.0,33.0
37,2020-02-28,3.0,36.0
38,2020-02-29,5.0,41.0
39,2020-03-01,6.0,47.0
40,2020-03-02,2.0,49.0
41,2020-03-03,0.0,49.0
42,2020-03-04,3.0,52.0
43,2020-03-05,3.0,55.0
44,2020-03-06,5.0,60.0
45,2020-03-07,25.0,85.0
46,2020-03-08,0.0,85.0
47,2020-03-09,10.0,95.0
48,2020-03-10,15.0,110.0
49,2020-03-11,85.0,195.0
50,2020-03-12,0.0,195.0
51,2020-03-13,0.0,195.0
52,2020-03-14,15.0,210.0
53,2020-03-15,4.0,214.0
54,2020-03-16,0.0,214.0
55,2020-03-17,14.0,228.0
56,2020-03-18,28.0,256.0
57,2020-03-19,22.0,278.0
58,2020-03-20,7.0,285.0
59,2020-03-21,20.0,305.0
60,2020-03-22,29.0,334.0
61,2020-03-23,43.0,377.0
62,2020-03-24,15.0,392.0
63,2020-03-25,27.0,419.0
64,2020-03-26,39.0,458.0
65,2020-03-27,8.0,466.0
66,2020-03-28,10.0,476.0
67,2020-03-29,23.0,499.0
68,2020-03-30,16.0,515.0
69,2020-03-31,52.0,567.0
70,2020-04-01,2.0,569.0
71,2020-04-02,74.0,643.0
72,2020-04-03,29.0,672.0
73,2020-04-04,16.0,688.0
74,2020-04-05,12.0,700.0
75,2020-04-06,56.0,756.0
76,2020-04-07,55.0,811.0
77,2020-04-08,12.0,823.0
78,2020-04-09,64.0,887.0
79,2020-04-10,38.0,925.0
80,2020-04-11,115.0,1040.0
81,2020-04-12,96.0,1136.0
82,2020-04-13,225.0,1361.0
83,2020-04-14,167.0,1528.0
84,2020-04-15,143.0,1671.0
85,2020-04-16,29.0,1700.0
86,2020-04-17,40.0,1740.0
87,2020-04-18,33.0,1773.0
88,2020-04-19,108.0,1881.0
89,2020-04-20,26.0,1907.0
90,2020-04-21,66.0,1973.0
91,2020-04-22,54.0,2027.0
92,2020-04-23,190.0,2217.0
93,2020-04-24,301.0,2518.0
94,2020-04-25,70.0,2588.0
95,2020-04-26,59.0,2647.0
96,2020-04-27,76.0,2723.0
97,2020-04-28,88.0,2811.0
98,2020-04-29,110.0,2921.0
99,2020-04-30,119.0,3040.0
100,2020-05-01,130.0,3170.0
101,2020-05-02,114.0,3284.0
102,2020-05-03,99.0,3383.0
103,2020-05-04,150.0,3533.0
104,2020-05-05,187.0,3720.0
105,2020-05-06,214.0,3934.0
106,2020-05-07,265.0,4199.0
107,2020-05-08,245.0,4444.0
108,2020-05-09,330.0,4774.0
109,2020-05-10,167.0,4941.0
110,2020-05-11,295.0,5236.0
111,2020-05-12,295.0,5531.0
112,2020-05-13,285.0,5816.0
113,2020-05-14,382.0,6198.0
114,2020-05-15,385.0,6583.0
115,2020-05-16,164.0,6747.0
116,2020-05-17,209.0,6956.0
117,2020-05-18,228.0,7184.0
118,2020-05-19,348.0,7532.0
119,2020-05-20,356.0,7888.0
120,2020-05-21,286.0,8174.0
121,2020-05-22,240.0,8414.0
122,2020-05-23,388.0,8802.0
123,2020-05-24,336.0,9138.0
124,2020-05-25,33.0,9171.0
125,2020-05-26,195.0,9366.0
126,2020-05-27,326.0,9692.0
127,2020-05-28,360.0,10052.0
128,2020-05-29,397.0,10449.0
129,2020-05-30,344.0,10793.0
130,2020-05-31,605.0,11398.0
131,2020-06-01,473.0,11871.0
132,2020-06-02,440.0,12311.0
133,2020-06-03,504.0,12815.0
