,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,2.0,2.0
34,2020-02-25,0.0,2.0
35,2020-02-26,2.0,4.0
36,2020-02-27,0.0,4.0
37,2020-02-28,0.0,4.0
38,2020-02-29,2.0,6.0
39,2020-03-01,0.0,6.0
40,2020-03-02,0.0,6.0
41,2020-03-03,6.0,12.0
42,2020-03-04,3.0,15.0
43,2020-03-05,1.0,16.0
44,2020-03-06,0.0,16.0
45,2020-03-07,0.0,16.0
46,2020-03-08,0.0,16.0
47,2020-03-09,0.0,16.0
48,2020-03-10,2.0,18.0
49,2020-03-11,0.0,18.0
50,2020-03-12,0.0,18.0
51,2020-03-13,1.0,19.0
52,2020-03-14,0.0,19.0
53,2020-03-15,3.0,22.0
54,2020-03-16,0.0,22.0
55,2020-03-17,2.0,24.0
56,2020-03-18,15.0,39.0
57,2020-03-19,9.0,48.0
58,2020-03-20,0.0,48.0
59,2020-03-21,4.0,52.0
60,2020-03-22,3.0,55.0
61,2020-03-23,11.0,66.0
62,2020-03-24,18.0,84.0
63,2020-03-25,15.0,99.0
64,2020-03-26,10.0,109.0
65,2020-03-27,22.0,131.0
66,2020-03-28,21.0,152.0
67,2020-03-29,15.0,167.0
68,2020-03-30,12.0,179.0
69,2020-03-31,13.0,192.0
70,2020-04-01,18.0,210.0
71,2020-04-02,21.0,231.0
72,2020-04-03,21.0,252.0
73,2020-04-04,25.0,277.0
74,2020-04-05,21.0,298.0
75,2020-04-06,33.0,331.0
76,2020-04-07,40.0,371.0
77,2020-04-08,48.0,419.0
78,2020-04-09,38.0,457.0
79,2020-04-10,27.0,484.0
80,2020-04-11,62.0,546.0
81,2020-04-12,53.0,599.0
82,2020-04-13,128.0,727.0
83,2020-04-14,86.0,813.0
84,2020-04-15,97.0,910.0
85,2020-04-16,109.0,1019.0
86,2020-04-17,50.0,1069.0
87,2020-04-18,111.0,1180.0
88,2020-04-19,86.0,1266.0
89,2020-04-20,144.0,1410.0
90,2020-04-21,98.0,1508.0
91,2020-04-22,106.0,1614.0
92,2020-04-23,102.0,1716.0
93,2020-04-24,74.0,1790.0
94,2020-04-25,115.0,1905.0
95,2020-04-26,93.0,1998.0
96,2020-04-27,51.0,2049.0
97,2020-04-28,82.0,2131.0
98,2020-04-29,143.0,2274.0
99,2020-04-30,74.0,2348.0
100,2020-05-01,99.0,2447.0
101,2020-05-02,36.0,2483.0
102,2020-05-03,85.0,2568.0
103,2020-05-04,69.0,2637.0
104,2020-05-05,98.0,2735.0
105,2020-05-06,168.0,2903.0
106,2020-05-07,55.0,2958.0
107,2020-05-08,154.0,3112.0
108,2020-05-09,112.0,3224.0
109,2020-05-10,175.0,3399.0
110,2020-05-11,174.0,3573.0
111,2020-05-12,148.0,3721.0
112,2020-05-13,298.0,4019.0
113,2020-05-14,322.0,4341.0
114,2020-05-15,284.0,4625.0
115,2020-05-16,404.0,5029.0
116,2020-05-17,157.0,5186.0
117,2020-05-18,193.0,5379.0
118,2020-05-19,292.0,5671.0
119,2020-05-20,372.0,6043.0
120,2020-05-21,327.0,6370.0
121,2020-05-22,424.0,6794.0
122,2020-05-23,463.0,7257.0
123,2020-05-24,513.0,7770.0
124,2020-05-25,0.0,7770.0
125,2020-05-26,348.0,8118.0
126,2020-05-27,255.0,8373.0
127,2020-05-28,636.0,9009.0
128,2020-05-29,811.0,9820.0
129,2020-05-30,603.0,10423.0
130,2020-05-31,1014.0,11437.0
131,2020-06-01,786.0,12223.0
132,2020-06-02,576.0,12799.0
133,2020-06-03,738.0,13537.0
134,2020-06-04,779.0,14316.0
