,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,1.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,1.0,2.0
44,2020-03-06,0.0,2.0
45,2020-03-07,0.0,2.0
46,2020-03-08,0.0,2.0
47,2020-03-09,0.0,2.0
48,2020-03-10,1.0,3.0
49,2020-03-11,2.0,5.0
50,2020-03-12,1.0,6.0
51,2020-03-13,1.0,7.0
52,2020-03-14,10.0,17.0
53,2020-03-15,11.0,28.0
54,2020-03-16,1.0,29.0
55,2020-03-17,9.0,38.0
56,2020-03-18,11.0,49.0
57,2020-03-19,14.0,63.0
58,2020-03-20,14.0,77.0
59,2020-03-21,19.0,96.0
60,2020-03-22,19.0,115.0
61,2020-03-23,28.0,143.0
62,2020-03-24,27.0,170.0
63,2020-03-25,55.0,225.0
64,2020-03-26,50.0,275.0
65,2020-03-27,70.0,345.0
66,2020-03-28,57.0,402.0
67,2020-03-29,77.0,479.0
68,2020-03-30,77.0,556.0
69,2020-03-31,61.0,617.0
70,2020-04-01,37.0,654.0
71,2020-04-02,54.0,708.0
72,2020-04-03,83.0,791.0
73,2020-04-04,128.0,919.0
74,2020-04-05,102.0,1021.0
75,2020-04-06,99.0,1120.0
76,2020-04-07,64.0,1184.0
77,2020-04-08,91.0,1275.0
78,2020-04-09,99.0,1374.0
79,2020-04-10,74.0,1448.0
80,2020-04-11,97.0,1545.0
81,2020-04-12,116.0,1661.0
82,2020-04-13,102.0,1763.0
83,2020-04-14,125.0,1888.0
84,2020-04-15,136.0,2024.0
85,2020-04-16,259.0,2283.0
86,2020-04-17,281.0,2564.0
87,2020-04-18,121.0,2685.0
88,2020-04-19,170.0,2855.0
89,2020-04-20,191.0,3046.0
90,2020-04-21,163.0,3209.0
91,2020-04-22,237.0,3446.0
92,2020-04-23,122.0,3568.0
93,2020-04-24,190.0,3758.0
94,2020-04-25,139.0,3897.0
95,2020-04-26,168.0,4065.0
96,2020-04-27,55.0,4120.0
97,2020-04-28,132.0,4252.0
98,2020-04-29,69.0,4321.0
99,2020-04-30,102.0,4423.0
100,2020-05-01,146.0,4569.0
101,2020-05-02,160.0,4729.0
102,2020-05-03,174.0,4903.0
103,2020-05-04,150.0,5053.0
104,2020-05-05,166.0,5219.0
105,2020-05-06,189.0,5408.0
106,2020-05-07,140.0,5548.0
107,2020-05-08,163.0,5711.0
108,2020-05-09,199.0,5910.0
109,2020-05-10,153.0,6063.0
110,2020-05-11,218.0,6281.0
111,2020-05-12,137.0,6418.0
112,2020-05-13,94.0,6512.0
113,2020-05-14,95.0,6607.0
114,2020-05-15,45.0,6652.0
115,2020-05-16,89.0,6741.0
116,2020-05-17,129.0,6870.0
117,2020-05-18,82.0,6952.0
118,2020-05-19,71.0,7023.0
119,2020-05-20,110.0,7133.0
120,2020-05-21,78.0,7211.0
121,2020-05-22,121.0,7332.0
122,2020-05-23,74.0,7406.0
123,2020-05-24,27.0,7433.0
124,2020-05-25,99.0,7532.0
125,2020-05-26,45.0,7577.0
126,2020-05-27,24.0,7601.0
127,2020-05-28,42.0,7643.0
128,2020-05-29,71.0,7714.0
129,2020-05-30,66.0,7780.0
130,2020-05-31,27.0,7807.0
131,2020-06-01,26.0,7833.0
132,2020-06-02,33.0,7866.0
133,2020-06-03,56.0,7922.0
