,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,3.0,3.0
40,2020-03-02,0.0,3.0
41,2020-03-03,2.0,5.0
42,2020-03-04,3.0,8.0
43,2020-03-05,4.0,12.0
44,2020-03-06,6.0,18.0
45,2020-03-07,1.0,19.0
46,2020-03-08,12.0,31.0
47,2020-03-09,0.0,31.0
48,2020-03-10,10.0,41.0
49,2020-03-11,50.0,91.0
50,2020-03-12,3.0,94.0
51,2020-03-13,47.0,141.0
52,2020-03-14,48.0,189.0
53,2020-03-15,64.0,253.0
54,2020-03-16,45.0,298.0
55,2020-03-17,98.0,396.0
56,2020-03-18,68.0,464.0
57,2020-03-19,230.0,694.0
58,2020-03-20,139.0,833.0
59,2020-03-21,162.0,995.0
60,2020-03-22,125.0,1120.0
61,2020-03-23,116.0,1236.0
62,2020-03-24,158.0,1394.0
63,2020-03-25,260.0,1654.0
64,2020-03-26,271.0,1925.0
65,2020-03-27,354.0,2279.0
66,2020-03-28,352.0,2631.0
67,2020-03-29,186.0,2817.0
68,2020-03-30,184.0,3001.0
69,2020-03-31,307.0,3308.0
70,2020-04-01,200.0,3508.0
71,2020-04-02,350.0,3858.0
72,2020-04-03,233.0,4091.0
73,2020-04-04,381.0,4472.0
74,2020-04-05,115.0,4587.0
75,2020-04-06,235.0,4822.0
76,2020-04-07,195.0,5017.0
77,2020-04-08,295.0,5312.0
78,2020-04-09,257.0,5569.0
79,2020-04-10,163.0,5732.0
80,2020-04-11,99.0,5831.0
81,2020-04-12,160.0,5991.0
82,2020-04-13,68.0,6059.0
83,2020-04-14,52.0,6111.0
84,2020-04-15,105.0,6216.0
85,2020-04-16,217.0,6433.0
86,2020-04-17,116.0,6549.0
87,2020-04-18,57.0,6606.0
88,2020-04-19,140.0,6746.0
89,2020-04-20,154.0,6900.0
90,2020-04-21,133.0,7033.0
91,2020-04-22,99.0,7132.0
92,2020-04-23,55.0,7187.0
93,2020-04-24,86.0,7273.0
94,2020-04-25,79.0,7352.0
95,2020-04-26,52.0,7404.0
96,2020-04-27,41.0,7445.0
97,2020-04-28,59.0,7504.0
98,2020-04-29,75.0,7579.0
99,2020-04-30,103.0,7682.0
100,2020-05-01,55.0,7737.0
101,2020-05-02,18.0,7755.0
102,2020-05-03,26.0,7781.0
103,2020-05-04,38.0,7819.0
104,2020-05-05,77.0,7896.0
105,2020-05-06,78.0,7974.0
106,2020-05-07,57.0,8031.0
107,2020-05-08,46.0,8077.0
108,2020-05-09,18.0,8095.0
109,2020-05-10,28.0,8123.0
110,2020-05-11,53.0,8176.0
111,2020-05-12,45.0,8221.0
112,2020-05-13,48.0,8269.0
113,2020-05-14,82.0,8351.0
114,2020-05-15,55.0,8406.0
115,2020-05-16,49.0,8455.0
116,2020-05-17,20.0,8475.0
117,2020-05-18,111.0,8586.0
118,2020-05-19,61.0,8647.0
119,2020-05-20,74.0,8721.0
120,2020-05-21,33.0,8754.0
121,2020-05-22,59.0,8813.0
122,2020-05-23,77.0,8890.0
123,2020-05-24,65.0,8955.0
124,2020-05-25,47.0,9002.0
125,2020-05-26,48.0,9050.0
126,2020-05-27,36.0,9086.0
127,2020-05-28,54.0,9140.0
128,2020-05-29,56.0,9196.0
129,2020-05-30,34.0,9230.0
130,2020-05-31,38.0,9268.0
131,2020-06-01,34.0,9302.0
132,2020-06-02,62.0,9364.0
