,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,2.0,2.0
41,2020-03-03,0.0,2.0
42,2020-03-04,0.0,2.0
43,2020-03-05,0.0,2.0
44,2020-03-06,2.0,4.0
45,2020-03-07,0.0,4.0
46,2020-03-08,2.0,6.0
47,2020-03-09,13.0,19.0
48,2020-03-10,8.0,27.0
49,2020-03-11,7.0,34.0
50,2020-03-12,0.0,34.0
51,2020-03-13,35.0,69.0
52,2020-03-14,27.0,96.0
53,2020-03-15,21.0,117.0
54,2020-03-16,17.0,134.0
55,2020-03-17,38.0,172.0
56,2020-03-18,55.0,227.0
57,2020-03-19,84.0,311.0
58,2020-03-20,58.0,369.0
59,2020-03-21,81.0,450.0
60,2020-03-22,64.0,514.0
61,2020-03-23,65.0,579.0
62,2020-03-24,107.0,686.0
63,2020-03-25,104.0,790.0
64,2020-03-26,103.0,893.0
65,2020-03-27,153.0,1046.0
66,2020-03-28,109.0,1155.0
67,2020-03-29,130.0,1285.0
68,2020-03-30,129.0,1414.0
69,2020-03-31,114.0,1528.0
70,2020-04-01,149.0,1677.0
71,2020-04-02,113.0,1790.0
72,2020-04-03,196.0,1986.0
73,2020-04-04,106.0,2092.0
74,2020-04-05,181.0,2273.0
75,2020-04-06,218.0,2491.0
76,2020-04-07,247.0,2738.0
77,2020-04-08,218.0,2956.0
78,2020-04-09,337.0,3293.0
79,2020-04-10,219.0,3512.0
80,2020-04-11,330.0,3842.0
81,2020-04-12,399.0,4241.0
82,2020-04-13,316.0,4557.0
83,2020-04-14,282.0,4839.0
84,2020-04-15,297.0,5136.0
85,2020-04-16,380.0,5516.0
86,2020-04-17,407.0,5923.0
87,2020-04-18,325.0,6248.0
88,2020-04-19,327.0,6575.0
89,2020-04-20,185.0,6760.0
90,2020-04-21,375.0,7135.0
91,2020-04-22,283.0,7418.0
92,2020-04-23,357.0,7775.0
93,2020-04-24,436.0,8211.0
94,2020-04-25,396.0,8607.0
95,2020-04-26,275.0,8882.0
96,2020-04-27,214.0,9096.0
97,2020-04-28,415.0,9511.0
98,2020-04-29,260.0,9771.0
99,2020-04-30,347.0,10118.0
100,2020-05-01,433.0,10551.0
101,2020-05-02,292.0,10843.0
102,2020-05-03,349.0,11192.0
103,2020-05-04,395.0,11587.0
104,2020-05-05,484.0,12071.0
105,2020-05-06,367.0,12438.0
106,2020-05-07,338.0,12776.0
107,2020-05-08,336.0,13112.0
108,2020-05-09,533.0,13645.0
109,2020-05-10,387.0,14032.0
110,2020-05-11,233.0,14265.0
111,2020-05-12,484.0,14749.0
112,2020-05-13,689.0,15438.0
113,2020-05-14,568.0,16006.0
114,2020-05-15,490.0,16496.0
115,2020-05-16,529.0,17025.0
116,2020-05-17,489.0,17514.0
117,2020-05-18,496.0,18010.0
118,2020-05-19,486.0,18496.0
119,2020-05-20,693.0,19189.0
120,2020-05-21,973.0,20162.0
121,2020-05-22,634.0,20796.0
122,2020-05-23,949.0,21745.0
123,2020-05-24,526.0,22271.0
124,2020-05-25,479.0,22750.0
125,2020-05-26,415.0,23165.0
126,2020-05-27,686.0,23851.0
127,2020-05-28,687.0,24538.0
128,2020-05-29,678.0,25216.0
129,2020-05-30,557.0,25773.0
130,2020-05-31,700.0,26473.0
131,2020-06-01,467.0,26940.0
132,2020-06-02,609.0,27549.0
133,2020-06-03,684.0,28233.0
