,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,1.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,1.0,2.0
45,2020-03-07,0.0,2.0
46,2020-03-08,3.0,5.0
47,2020-03-09,0.0,5.0
48,2020-03-10,0.0,5.0
49,2020-03-11,0.0,5.0
50,2020-03-12,0.0,5.0
51,2020-03-13,0.0,5.0
52,2020-03-14,6.0,11.0
53,2020-03-15,0.0,11.0
54,2020-03-16,0.0,11.0
55,2020-03-17,10.0,21.0
56,2020-03-18,0.0,21.0
57,2020-03-19,13.0,34.0
58,2020-03-20,38.0,72.0
59,2020-03-21,40.0,112.0
60,2020-03-22,90.0,202.0
61,2020-03-23,43.0,245.0
62,2020-03-24,67.0,312.0
63,2020-03-25,80.0,392.0
64,2020-03-26,96.0,488.0
65,2020-03-27,93.0,581.0
66,2020-03-28,138.0,719.0
67,2020-03-29,140.0,859.0
68,2020-03-30,42.0,901.0
69,2020-03-31,208.0,1109.0
70,2020-04-01,175.0,1284.0
71,2020-04-02,96.0,1380.0
72,2020-04-03,108.0,1488.0
73,2020-04-04,0.0,1488.0
74,2020-04-05,257.0,1745.0
75,2020-04-06,83.0,1828.0
76,2020-04-07,128.0,1956.0
77,2020-04-08,155.0,2111.0
78,2020-04-09,238.0,2349.0
79,2020-04-10,271.0,2620.0
80,2020-04-11,139.0,2759.0
81,2020-04-12,208.0,2967.0
82,2020-04-13,200.0,3167.0
83,2020-04-14,119.0,3286.0
84,2020-04-15,328.0,3614.0
85,2020-04-16,141.0,3755.0
86,2020-04-17,371.0,4126.0
87,2020-04-18,209.0,4335.0
88,2020-04-19,345.0,4680.0
89,2020-04-20,284.0,4964.0
90,2020-04-21,80.0,5044.0
91,2020-04-22,256.0,5300.0
92,2020-04-23,243.0,5543.0
93,2020-04-24,206.0,5749.0
94,2020-04-25,177.0,5926.0
95,2020-04-26,209.0,6135.0
96,2020-04-27,158.0,6293.0
97,2020-04-28,123.0,6416.0
98,2020-04-29,236.0,6652.0
99,2020-04-30,320.0,6972.0
100,2020-05-01,316.0,7288.0
101,2020-05-02,290.0,7578.0
102,2020-05-03,376.0,7954.0
103,2020-05-04,281.0,8235.0
104,2020-05-05,245.0,8480.0
105,2020-05-06,327.0,8807.0
106,2020-05-07,288.0,9095.0
107,2020-05-08,281.0,9376.0
108,2020-05-09,506.0,9882.0
109,2020-05-10,465.0,10347.0
110,2020-05-11,287.0,10634.0
111,2020-05-12,266.0,10900.0
112,2020-05-13,296.0,11196.0
113,2020-05-14,124.0,11320.0
114,2020-05-15,419.0,11739.0
115,2020-05-16,371.0,12110.0
116,2020-05-17,204.0,12314.0
117,2020-05-18,411.0,12725.0
118,2020-05-19,498.0,13223.0
119,2020-05-20,254.0,13477.0
120,2020-05-21,180.0,13657.0
121,2020-05-22,332.0,13989.0
122,2020-05-23,433.0,14422.0
123,2020-05-24,379.0,14801.0
124,2020-05-25,272.0,15073.0
125,2020-05-26,191.0,15264.0
126,2020-05-27,459.0,15723.0
127,2020-05-28,345.0,16068.0
128,2020-05-29,463.0,16531.0
129,2020-05-30,377.0,16908.0
130,2020-05-31,377.0,17285.0
131,2020-06-01,287.0,17572.0
132,2020-06-02,180.0,17752.0
133,2020-06-03,288.0,18040.0
