,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,1.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,4.0,5.0
45,2020-03-07,0.0,5.0
46,2020-03-08,6.0,11.0
47,2020-03-09,5.0,16.0
48,2020-03-10,6.0,22.0
49,2020-03-11,9.0,31.0
50,2020-03-12,18.0,49.0
51,2020-03-13,19.0,68.0
52,2020-03-14,35.0,103.0
53,2020-03-15,16.0,119.0
54,2020-03-16,58.0,177.0
55,2020-03-17,61.0,238.0
56,2020-03-18,13.0,251.0
57,2020-03-19,104.0,355.0
58,2020-03-20,70.0,425.0
59,2020-03-21,111.0,536.0
60,2020-03-22,98.0,634.0
61,2020-03-23,115.0,749.0
62,2020-03-24,152.0,901.0
63,2020-03-25,150.0,1051.0
64,2020-03-26,170.0,1221.0
65,2020-03-27,168.0,1389.0
66,2020-03-28,249.0,1638.0
67,2020-03-29,224.0,1862.0
68,2020-03-30,193.0,2055.0
69,2020-03-31,256.0,2311.0
70,2020-04-01,243.0,2554.0
71,2020-04-02,392.0,2946.0
72,2020-04-03,437.0,3383.0
73,2020-04-04,244.0,3627.0
74,2020-04-05,475.0,4102.0
75,2020-04-06,311.0,4413.0
76,2020-04-07,435.0,4848.0
77,2020-04-08,357.0,5205.0
78,2020-04-09,370.0,5575.0
79,2020-04-10,380.0,5955.0
80,2020-04-11,401.0,6356.0
81,2020-04-12,318.0,6674.0
82,2020-04-13,260.0,6934.0
83,2020-04-14,268.0,7202.0
84,2020-04-15,380.0,7582.0
85,2020-04-16,336.0,7918.0
86,2020-04-17,461.0,8379.0
87,2020-04-18,363.0,8742.0
88,2020-04-19,545.0,9287.0
89,2020-04-20,306.0,9593.0
90,2020-04-21,263.0,9856.0
91,2020-04-22,313.0,10169.0
92,2020-04-23,342.0,10511.0
93,2020-04-24,381.0,10892.0
94,2020-04-25,381.0,11273.0
95,2020-04-26,344.0,11617.0
96,2020-04-27,285.0,11902.0
97,2020-04-28,316.0,12218.0
98,2020-04-29,422.0,12640.0
99,2020-04-30,237.0,12877.0
100,2020-05-01,228.0,13105.0
101,2020-05-02,270.0,13375.0
102,2020-05-03,318.0,13693.0
103,2020-05-04,313.0,14006.0
104,2020-05-05,425.0,14431.0
105,2020-05-06,309.0,14740.0
106,2020-05-07,307.0,15047.0
107,2020-05-08,319.0,15366.0
108,2020-05-09,285.0,15651.0
109,2020-05-10,345.0,15996.0
110,2020-05-11,330.0,16326.0
111,2020-05-12,595.0,16921.0
112,2020-05-13,283.0,17204.0
113,2020-05-14,411.0,17615.0
114,2020-05-15,401.0,18016.0
115,2020-05-16,241.0,18257.0
116,2020-05-17,272.0,18529.0
117,2020-05-18,356.0,18885.0
118,2020-05-19,383.0,19268.0
119,2020-05-20,471.0,19739.0
120,2020-05-21,404.0,20143.0
121,2020-05-22,476.0,20619.0
122,2020-05-23,312.0,20931.0
123,2020-05-24,395.0,21326.0
124,2020-05-25,305.0,21631.0
125,2020-05-26,443.0,22074.0
126,2020-05-27,399.0,22473.0
127,2020-05-28,352.0,22825.0
128,2020-05-29,330.0,23155.0
129,2020-05-30,416.0,23571.0
130,2020-05-31,215.0,23786.0
131,2020-06-01,379.0,24165.0
132,2020-06-02,230.0,24395.0
