,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,2.0,2.0
48,2020-03-10,8.0,10.0
49,2020-03-11,2.0,12.0
50,2020-03-12,11.0,23.0
51,2020-03-13,10.0,33.0
52,2020-03-14,5.0,38.0
53,2020-03-15,4.0,42.0
54,2020-03-16,9.0,51.0
55,2020-03-17,4.0,55.0
56,2020-03-18,4.0,59.0
57,2020-03-19,5.0,64.0
58,2020-03-20,6.0,70.0
59,2020-03-21,6.0,76.0
60,2020-03-22,13.0,89.0
61,2020-03-23,15.0,104.0
62,2020-03-24,19.0,123.0
63,2020-03-25,23.0,146.0
64,2020-03-26,28.0,174.0
65,2020-03-27,12.0,186.0
66,2020-03-28,11.0,197.0
67,2020-03-29,15.0,212.0
68,2020-03-30,11.0,223.0
69,2020-03-31,20.0,243.0
70,2020-04-01,16.0,259.0
71,2020-04-02,18.0,277.0
72,2020-04-03,27.0,304.0
73,2020-04-04,29.0,333.0
74,2020-04-05,28.0,361.0
75,2020-04-06,16.0,377.0
76,2020-04-07,6.0,383.0
77,2020-04-08,17.0,400.0
78,2020-04-09,9.0,409.0
79,2020-04-10,7.0,416.0
80,2020-04-11,17.0,433.0
81,2020-04-12,13.0,446.0
82,2020-04-13,21.0,467.0
83,2020-04-14,8.0,475.0
84,2020-04-15,19.0,494.0
85,2020-04-16,24.0,518.0
86,2020-04-17,21.0,539.0
87,2020-04-18,9.0,548.0
88,2020-04-19,14.0,562.0
89,2020-04-20,22.0,584.0
90,2020-04-21,25.0,609.0
91,2020-04-22,25.0,634.0
92,2020-04-23,29.0,663.0
93,2020-04-24,15.0,678.0
94,2020-04-25,34.0,712.0
95,2020-04-26,14.0,726.0
96,2020-04-27,10.0,736.0
97,2020-04-28,14.0,750.0
98,2020-04-29,16.0,766.0
99,2020-04-30,7.0,773.0
100,2020-05-01,9.0,782.0
101,2020-05-02,7.0,789.0
102,2020-05-03,6.0,795.0
103,2020-05-04,8.0,803.0
104,2020-05-05,17.0,820.0
105,2020-05-06,12.0,832.0
106,2020-05-07,10.0,842.0
107,2020-05-08,8.0,850.0
108,2020-05-09,6.0,856.0
109,2020-05-10,12.0,868.0
110,2020-05-11,4.0,872.0
111,2020-05-12,4.0,876.0
112,2020-05-13,4.0,880.0
113,2020-05-14,18.0,898.0
114,2020-05-15,18.0,916.0
115,2020-05-16,17.0,933.0
116,2020-05-17,13.0,946.0
117,2020-05-18,2.0,948.0
118,2020-05-19,1.0,949.0
119,2020-05-20,15.0,964.0
120,2020-05-21,5.0,969.0
121,2020-05-22,12.0,981.0
122,2020-05-23,8.0,989.0
123,2020-05-24,9.0,998.0
124,2020-05-25,6.0,1004.0
125,2020-05-26,25.0,1029.0
126,2020-05-27,21.0,1050.0
127,2020-05-28,26.0,1076.0
128,2020-05-29,23.0,1099.0
129,2020-05-30,23.0,1122.0
130,2020-05-31,15.0,1137.0
131,2020-06-01,6.0,1143.0
132,2020-06-02,21.0,1164.0
133,2020-06-03,20.0,1184.0
134,2020-06-04,13.0,1197.0
135,2020-06-05,15.0,1212.0
136,2020-06-06,20.0,1232.0
