,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,1.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,4.0,5.0
44,2020-03-06,0.0,5.0
45,2020-03-07,0.0,5.0
46,2020-03-08,6.0,11.0
47,2020-03-09,4.0,15.0
48,2020-03-10,5.0,20.0
49,2020-03-11,1.0,21.0
50,2020-03-12,24.0,45.0
51,2020-03-13,41.0,86.0
52,2020-03-14,17.0,103.0
53,2020-03-15,0.0,103.0
54,2020-03-16,15.0,118.0
55,2020-03-17,53.0,171.0
56,2020-03-18,0.0,171.0
57,2020-03-19,103.0,274.0
58,2020-03-20,70.0,344.0
59,2020-03-21,48.0,392.0
60,2020-03-22,119.0,511.0
61,2020-03-23,51.0,562.0
62,2020-03-24,205.0,767.0
63,2020-03-25,133.0,900.0
64,2020-03-26,112.0,1012.0
65,2020-03-27,92.0,1104.0
66,2020-03-28,99.0,1203.0
67,2020-03-29,96.0,1299.0
68,2020-03-30,154.0,1453.0
69,2020-03-31,110.0,1563.0
70,2020-04-01,157.0,1720.0
71,2020-04-02,165.0,1885.0
72,2020-04-03,154.0,2039.0
73,2020-04-04,140.0,2179.0
74,2020-04-05,223.0,2402.0
75,2020-04-06,203.0,2605.0
76,2020-04-07,190.0,2795.0
77,2020-04-08,137.0,2932.0
78,2020-04-09,355.0,3287.0
79,2020-04-10,364.0,3651.0
80,2020-04-11,382.0,4033.0
81,2020-04-12,429.0,4462.0
82,2020-04-13,472.0,4934.0
83,2020-04-14,435.0,5369.0
84,2020-04-15,493.0,5862.0
85,2020-04-16,518.0,6380.0
86,2020-04-17,762.0,7142.0
87,2020-04-18,1132.0,8274.0
88,2020-04-19,1088.0,9362.0
89,2020-04-20,1122.0,10484.0
90,2020-04-21,1147.0,11631.0
91,2020-04-22,1141.0,12772.0
92,2020-04-23,1158.0,13930.0
93,2020-04-24,1172.0,15102.0
94,2020-04-25,1197.0,16299.0
95,2020-04-26,1223.0,17522.0
96,2020-04-27,1289.0,18811.0
97,2020-04-28,1266.0,20077.0
98,2020-04-29,1325.0,21402.0
99,2020-04-30,1351.0,22753.0
100,2020-05-01,1344.0,24097.0
101,2020-05-02,1362.0,25459.0
102,2020-05-03,1552.0,27011.0
103,2020-05-04,1645.0,28656.0
104,2020-05-05,1595.0,30251.0
105,2020-05-06,1687.0,31938.0
106,2020-05-07,1793.0,33731.0
107,2020-05-08,1701.0,35432.0
108,2020-05-09,1704.0,37136.0
109,2020-05-10,1912.0,39048.0
110,2020-05-11,1966.0,41014.0
111,2020-05-12,1911.0,42925.0
112,2020-05-13,1905.0,44830.0
113,2020-05-14,2039.0,46869.0
114,2020-05-15,2307.0,49176.0
115,2020-05-16,2840.0,52016.0
116,2020-05-17,2736.0,54752.0
117,2020-05-18,2593.0,57345.0
118,2020-05-19,2509.0,59854.0
119,2020-05-20,2691.0,62545.0
120,2020-05-21,2532.0,65077.0
121,2020-05-22,2642.0,67719.0
122,2020-05-23,2442.0,70161.0
123,2020-05-24,2399.0,72560.0
124,2020-05-25,2235.0,74795.0
125,2020-05-26,1931.0,76726.0
126,2020-05-27,1815.0,78541.0
127,2020-05-28,1644.0,80185.0
128,2020-05-29,1581.0,81766.0
129,2020-05-30,1618.0,83384.0
130,2020-05-31,1877.0,85261.0
