,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,1.0,1.0
24,2020-02-15,0.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,0.0,1.0
28,2020-02-19,0.0,1.0
29,2020-02-20,0.0,1.0
30,2020-02-21,0.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,0.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,1.0,2.0
40,2020-03-02,0.0,2.0
41,2020-03-03,0.0,2.0
42,2020-03-04,0.0,2.0
43,2020-03-05,1.0,3.0
44,2020-03-06,12.0,15.0
45,2020-03-07,0.0,15.0
46,2020-03-08,34.0,49.0
47,2020-03-09,6.0,55.0
48,2020-03-10,4.0,59.0
49,2020-03-11,1.0,60.0
50,2020-03-12,7.0,67.0
51,2020-03-13,13.0,80.0
52,2020-03-14,29.0,109.0
53,2020-03-15,1.0,110.0
54,2020-03-16,40.0,150.0
55,2020-03-17,46.0,196.0
56,2020-03-18,0.0,196.0
57,2020-03-19,60.0,256.0
58,2020-03-20,29.0,285.0
59,2020-03-21,9.0,294.0
60,2020-03-22,33.0,327.0
61,2020-03-23,39.0,366.0
62,2020-03-24,36.0,402.0
63,2020-03-25,54.0,456.0
64,2020-03-26,39.0,495.0
65,2020-03-27,41.0,536.0
66,2020-03-28,40.0,576.0
67,2020-03-29,33.0,609.0
68,2020-03-30,47.0,656.0
69,2020-03-31,54.0,710.0
70,2020-04-01,69.0,779.0
71,2020-04-02,86.0,865.0
72,2020-04-03,120.0,985.0
73,2020-04-04,85.0,1070.0
74,2020-04-05,103.0,1173.0
75,2020-04-06,149.0,1322.0
76,2020-04-07,128.0,1450.0
77,2020-04-08,110.0,1560.0
78,2020-04-09,139.0,1699.0
79,2020-04-10,95.0,1794.0
80,2020-04-11,145.0,1939.0
81,2020-04-12,126.0,2065.0
82,2020-04-13,125.0,2190.0
83,2020-04-14,160.0,2350.0
84,2020-04-15,155.0,2505.0
85,2020-04-16,168.0,2673.0
86,2020-04-17,171.0,2844.0
87,2020-04-18,188.0,3032.0
88,2020-04-19,112.0,3144.0
89,2020-04-20,189.0,3333.0
90,2020-04-21,157.0,3490.0
91,2020-04-22,169.0,3659.0
92,2020-04-23,232.0,3891.0
93,2020-04-24,201.0,4092.0
94,2020-04-25,227.0,4319.0
95,2020-04-26,215.0,4534.0
96,2020-04-27,248.0,4782.0
97,2020-04-28,260.0,5042.0
98,2020-04-29,226.0,5268.0
99,2020-04-30,269.0,5537.0
100,2020-05-01,358.0,5895.0
101,2020-05-02,298.0,6193.0
102,2020-05-03,272.0,6465.0
103,2020-05-04,348.0,6813.0
104,2020-05-05,388.0,7201.0
105,2020-05-06,387.0,7588.0
106,2020-05-07,393.0,7981.0
107,2020-05-08,495.0,8476.0
108,2020-05-09,488.0,8964.0
109,2020-05-10,436.0,9400.0
110,2020-05-11,346.0,9746.0
111,2020-05-12,347.0,10093.0
112,2020-05-13,338.0,10431.0
113,2020-05-14,398.0,10829.0
114,2020-05-15,399.0,11228.0
115,2020-05-16,491.0,11719.0
116,2020-05-17,510.0,12229.0
117,2020-05-18,535.0,12764.0
118,2020-05-19,720.0,13484.0
119,2020-05-20,745.0,14229.0
120,2020-05-21,774.0,15003.0
121,2020-05-22,783.0,15786.0
122,2020-05-23,727.0,16513.0
123,2020-05-24,752.0,17265.0
124,2020-05-25,702.0,17967.0
125,2020-05-26,789.0,18756.0
126,2020-05-27,910.0,19666.0
127,2020-05-28,1127.0,20793.0
128,2020-05-29,1289.0,22082.0
129,2020-05-30,1367.0,23449.0
130,2020-05-31,1536.0,24985.0
131,2020-06-01,1399.0,26384.0
132,2020-06-02,1152.0,27536.0
133,2020-06-03,1079.0,28615.0
