,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,2.0,2.0
41,2020-03-03,0.0,2.0
42,2020-03-04,3.0,5.0
43,2020-03-05,3.0,8.0
44,2020-03-06,5.0,13.0
45,2020-03-07,7.0,20.0
46,2020-03-08,10.0,30.0
47,2020-03-09,0.0,30.0
48,2020-03-10,11.0,41.0
49,2020-03-11,18.0,59.0
50,2020-03-12,0.0,59.0
51,2020-03-13,53.0,112.0
52,2020-03-14,57.0,169.0
53,2020-03-15,76.0,245.0
54,2020-03-16,86.0,331.0
55,2020-03-17,117.0,448.0
56,2020-03-18,0.0,448.0
57,2020-03-19,337.0,785.0
58,2020-03-20,235.0,1020.0
59,2020-03-21,260.0,1280.0
60,2020-03-22,320.0,1600.0
61,2020-03-23,460.0,2060.0
62,2020-03-24,302.0,2362.0
63,2020-03-25,633.0,2995.0
64,2020-03-26,549.0,3544.0
65,2020-03-27,724.0,4268.0
66,2020-03-28,902.0,5170.0
67,2020-03-29,792.0,5962.0
68,2020-03-30,446.0,6408.0
69,2020-03-31,1035.0,7443.0
70,2020-04-01,808.0,8251.0
71,2020-04-02,783.0,9034.0
72,2020-04-03,852.0,9886.0
73,2020-04-04,638.0,10524.0
74,2020-04-05,754.0,11278.0
75,2020-04-06,452.0,11730.0
76,2020-04-07,712.0,12442.0
77,2020-04-08,699.0,13141.0
78,2020-04-09,815.0,13956.0
79,2020-04-10,1516.0,15472.0
80,2020-04-11,515.0,15987.0
81,2020-04-12,598.0,16585.0
82,2020-04-13,349.0,16934.0
83,2020-04-14,514.0,17448.0
84,2020-04-15,643.0,18091.0
85,2020-04-16,750.0,18841.0
86,2020-04-17,181.0,19022.0
87,2020-04-18,663.0,19685.0
88,2020-04-19,521.0,20206.0
89,2020-04-20,657.0,20863.0
90,2020-04-21,516.0,21379.0
91,2020-04-22,603.0,21982.0
92,2020-04-23,371.0,22353.0
93,2020-04-24,444.0,22797.0
94,2020-04-25,595.0,23392.0
95,2020-04-26,472.0,23864.0
96,2020-04-27,163.0,24027.0
97,2020-04-28,295.0,24322.0
98,2020-04-29,183.0,24505.0
99,2020-04-30,540.0,25045.0
100,2020-05-01,306.0,25351.0
101,2020-05-02,-161.0,25190.0
102,2020-05-03,92.0,25282.0
103,2020-05-04,242.0,25524.0
104,2020-05-05,178.0,25702.0
105,2020-05-06,480.0,26182.0
106,2020-05-07,533.0,26715.0
107,2020-05-08,553.0,27268.0
108,2020-05-09,138.0,27406.0
109,2020-05-10,175.0,27581.0
110,2020-05-11,98.0,27679.0
111,2020-05-12,234.0,27913.0
112,2020-05-13,219.0,28132.0
113,2020-05-14,187.0,28319.0
114,2020-05-15,264.0,28583.0
115,2020-05-16,227.0,28810.0
116,2020-05-17,226.0,29036.0
117,2020-05-18,173.0,29209.0
118,2020-05-19,223.0,29432.0
119,2020-05-20,228.0,29660.0
120,2020-05-21,252.0,29912.0
121,2020-05-22,288.0,30200.0
122,2020-05-23,271.0,30471.0
123,2020-05-24,152.0,30623.0
124,2020-05-25,165.0,30788.0
125,2020-05-26,219.0,31007.0
126,2020-05-27,285.0,31292.0
127,2020-05-28,304.0,31596.0
128,2020-05-29,350.0,31946.0
129,2020-05-30,257.0,32203.0
130,2020-05-31,297.0,32500.0
131,2020-06-01,200.0,32700.0
132,2020-06-02,195.0,32895.0
