,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,2.0,2.0
10,2020-02-01,0.0,2.0
11,2020-02-02,0.0,2.0
12,2020-02-03,0.0,2.0
13,2020-02-04,0.0,2.0
14,2020-02-05,0.0,2.0
15,2020-02-06,0.0,2.0
16,2020-02-07,1.0,3.0
17,2020-02-08,0.0,3.0
18,2020-02-09,0.0,3.0
19,2020-02-10,0.0,3.0
20,2020-02-11,0.0,3.0
21,2020-02-12,0.0,3.0
22,2020-02-13,0.0,3.0
23,2020-02-14,0.0,3.0
24,2020-02-15,0.0,3.0
25,2020-02-16,0.0,3.0
26,2020-02-17,0.0,3.0
27,2020-02-18,0.0,3.0
28,2020-02-19,0.0,3.0
29,2020-02-20,0.0,3.0
30,2020-02-21,17.0,20.0
31,2020-02-22,42.0,62.0
32,2020-02-23,93.0,155.0
33,2020-02-24,74.0,229.0
34,2020-02-25,93.0,322.0
35,2020-02-26,131.0,453.0
36,2020-02-27,202.0,655.0
37,2020-02-28,233.0,888.0
38,2020-02-29,240.0,1128.0
39,2020-03-01,566.0,1694.0
40,2020-03-02,342.0,2036.0
41,2020-03-03,466.0,2502.0
42,2020-03-04,587.0,3089.0
43,2020-03-05,769.0,3858.0
44,2020-03-06,778.0,4636.0
45,2020-03-07,1247.0,5883.0
46,2020-03-08,1492.0,7375.0
47,2020-03-09,1797.0,9172.0
48,2020-03-10,977.0,10149.0
49,2020-03-11,2313.0,12462.0
50,2020-03-12,2651.0,15113.0
51,2020-03-13,2547.0,17660.0
52,2020-03-14,3497.0,21157.0
53,2020-03-15,3590.0,24747.0
54,2020-03-16,3233.0,27980.0
55,2020-03-17,3526.0,31506.0
56,2020-03-18,4207.0,35713.0
57,2020-03-19,5322.0,41035.0
58,2020-03-20,5986.0,47021.0
59,2020-03-21,6557.0,53578.0
60,2020-03-22,5560.0,59138.0
61,2020-03-23,4789.0,63927.0
62,2020-03-24,5249.0,69176.0
63,2020-03-25,5210.0,74386.0
64,2020-03-26,6203.0,80589.0
65,2020-03-27,5909.0,86498.0
66,2020-03-28,5974.0,92472.0
67,2020-03-29,5217.0,97689.0
68,2020-03-30,4050.0,101739.0
69,2020-03-31,4053.0,105792.0
70,2020-04-01,4782.0,110574.0
71,2020-04-02,4668.0,115242.0
72,2020-04-03,4585.0,119827.0
73,2020-04-04,4805.0,124632.0
74,2020-04-05,4316.0,128948.0
75,2020-04-06,3599.0,132547.0
76,2020-04-07,3039.0,135586.0
77,2020-04-08,3836.0,139422.0
78,2020-04-09,4204.0,143626.0
79,2020-04-10,3951.0,147577.0
80,2020-04-11,4694.0,152271.0
81,2020-04-12,4092.0,156363.0
82,2020-04-13,3153.0,159516.0
83,2020-04-14,2972.0,162488.0
84,2020-04-15,2667.0,165155.0
85,2020-04-16,3786.0,168941.0
86,2020-04-17,3493.0,172434.0
87,2020-04-18,3491.0,175925.0
88,2020-04-19,3047.0,178972.0
89,2020-04-20,2256.0,181228.0
90,2020-04-21,2729.0,183957.0
91,2020-04-22,3370.0,187327.0
92,2020-04-23,2646.0,189973.0
93,2020-04-24,3021.0,192994.0
94,2020-04-25,2357.0,195351.0
95,2020-04-26,2324.0,197675.0
96,2020-04-27,1739.0,199414.0
97,2020-04-28,2091.0,201505.0
98,2020-04-29,2086.0,203591.0
99,2020-04-30,1872.0,205463.0
100,2020-05-01,1965.0,207428.0
101,2020-05-02,1900.0,209328.0
102,2020-05-03,1389.0,210717.0
103,2020-05-04,1221.0,211938.0
104,2020-05-05,1075.0,213013.0
105,2020-05-06,1444.0,214457.0
106,2020-05-07,1401.0,215858.0
107,2020-05-08,1327.0,217185.0
108,2020-05-09,1083.0,218268.0
109,2020-05-10,802.0,219070.0
110,2020-05-11,744.0,219814.0
111,2020-05-12,1402.0,221216.0
112,2020-05-13,888.0,222104.0
113,2020-05-14,992.0,223096.0
114,2020-05-15,789.0,223885.0
115,2020-05-16,875.0,224760.0
116,2020-05-17,675.0,225435.0
117,2020-05-18,451.0,225886.0
118,2020-05-19,813.0,226699.0
119,2020-05-20,665.0,227364.0
120,2020-05-21,642.0,228006.0
121,2020-05-22,652.0,228658.0
122,2020-05-23,669.0,229327.0
123,2020-05-24,531.0,229858.0
124,2020-05-25,300.0,230158.0
125,2020-05-26,397.0,230555.0
126,2020-05-27,584.0,231139.0
127,2020-05-28,593.0,231732.0
