,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,1.0,1.0
49,2020-03-11,7.0,8.0
50,2020-03-12,3.0,11.0
51,2020-03-13,16.0,27.0
52,2020-03-14,9.0,36.0
53,2020-03-15,7.0,43.0
54,2020-03-16,12.0,55.0
55,2020-03-17,14.0,69.0
56,2020-03-18,17.0,86.0
57,2020-03-19,23.0,109.0
58,2020-03-20,28.0,137.0
59,2020-03-21,63.0,200.0
60,2020-03-22,113.0,313.0
61,2020-03-23,32.0,345.0
62,2020-03-24,0.0,345.0
63,2020-03-25,98.0,443.0
64,2020-03-26,115.0,558.0
65,2020-03-27,116.0,674.0
66,2020-03-28,112.0,786.0
67,2020-03-29,115.0,901.0
68,2020-03-30,88.0,989.0
69,2020-03-31,192.0,1181.0
70,2020-04-01,0.0,1181.0
71,2020-04-02,136.0,1317.0
72,2020-04-03,158.0,1475.0
73,2020-04-04,198.0,1673.0
74,2020-04-05,128.0,1801.0
75,2020-04-06,187.0,1988.0
76,2020-04-07,112.0,2100.0
77,2020-04-08,149.0,2249.0
78,2020-04-09,279.0,2528.0
79,2020-04-10,224.0,2752.0
80,2020-04-11,222.0,2974.0
81,2020-04-12,260.0,3234.0
82,2020-04-13,166.0,3400.0
83,2020-04-14,72.0,3472.0
84,2020-04-15,102.0,3574.0
85,2020-04-16,177.0,3751.0
86,2020-04-17,265.0,4016.0
87,2020-04-18,194.0,4210.0
88,2020-04-19,63.0,4273.0
89,2020-04-20,194.0,4467.0
90,2020-04-21,191.0,4658.0
91,2020-04-22,163.0,4821.0
92,2020-04-23,345.0,5166.0
93,2020-04-24,172.0,5338.0
94,2020-04-25,200.0,5538.0
95,2020-04-26,241.0,5779.0
96,2020-04-27,242.0,6021.0
97,2020-04-28,0.0,6021.0
98,2020-04-29,357.0,6378.0
99,2020-04-30,154.0,6532.0
100,2020-05-01,188.0,6720.0
101,2020-05-02,370.0,7090.0
102,2020-05-03,0.0,7090.0
103,2020-05-04,107.0,7197.0
104,2020-05-05,326.0,7523.0
105,2020-05-06,208.0,7731.0
106,2020-05-07,137.0,7868.0
107,2020-05-08,202.0,8070.0
108,2020-05-09,212.0,8282.0
109,2020-05-10,166.0,8448.0
110,2020-05-11,168.0,8616.0
111,2020-05-12,167.0,8783.0
112,2020-05-13,161.0,8944.0
113,2020-05-14,174.0,9118.0
114,2020-05-15,150.0,9268.0
115,2020-05-16,181.0,9449.0
116,2020-05-17,157.0,9606.0
117,2020-05-18,120.0,9726.0
118,2020-05-19,141.0,9867.0
119,2020-05-20,110.0,9977.0
120,2020-05-21,139.0,10116.0
121,2020-05-22,151.0,10267.0
122,2020-05-23,310.0,10577.0
123,2020-05-24,349.0,10926.0
124,2020-05-25,257.0,11183.0
125,2020-05-26,264.0,11447.0
126,2020-05-27,281.0,11728.0
127,2020-05-28,403.0,12131.0
128,2020-05-29,400.0,12531.0
129,2020-05-30,487.0,13018.0
130,2020-05-31,445.0,13463.0
131,2020-06-01,374.0,13837.0
132,2020-06-02,258.0,14095.0
133,2020-06-03,514.0,14609.0
