,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,2.0,2.0
44,2020-03-06,0.0,2.0
45,2020-03-07,1.0,3.0
46,2020-03-08,0.0,3.0
47,2020-03-09,0.0,3.0
48,2020-03-10,2.0,5.0
49,2020-03-11,2.0,7.0
50,2020-03-12,4.0,11.0
51,2020-03-13,2.0,13.0
52,2020-03-14,5.0,18.0
53,2020-03-15,6.0,24.0
54,2020-03-16,1.0,25.0
55,2020-03-17,1.0,26.0
56,2020-03-18,12.0,38.0
57,2020-03-19,25.0,63.0
58,2020-03-20,26.0,89.0
59,2020-03-21,4.0,93.0
60,2020-03-22,33.0,126.0
61,2020-03-23,10.0,136.0
62,2020-03-24,30.0,166.0
63,2020-03-25,10.0,176.0
64,2020-03-26,15.0,191.0
65,2020-03-27,46.0,237.0
66,2020-03-28,21.0,258.0
67,2020-03-29,65.0,323.0
68,2020-03-30,45.0,368.0
69,2020-03-31,52.0,420.0
70,2020-04-01,39.0,459.0
71,2020-04-02,74.0,533.0
72,2020-04-03,46.0,579.0
73,2020-04-04,45.0,624.0
74,2020-04-05,30.0,654.0
75,2020-04-06,20.0,674.0
76,2020-04-07,90.0,764.0
77,2020-04-08,40.0,804.0
78,2020-04-09,54.0,858.0
79,2020-04-10,43.0,901.0
80,2020-04-11,45.0,946.0
81,2020-04-12,63.0,1009.0
82,2020-04-13,28.0,1037.0
83,2020-04-14,46.0,1083.0
84,2020-04-15,27.0,1110.0
85,2020-04-16,57.0,1167.0
86,2020-04-17,47.0,1214.0
87,2020-04-18,54.0,1268.0
88,2020-04-19,17.0,1285.0
89,2020-04-20,24.0,1309.0
90,2020-04-21,33.0,1342.0
91,2020-04-22,26.0,1368.0
92,2020-04-23,45.0,1413.0
93,2020-04-24,8.0,1421.0
94,2020-04-25,65.0,1486.0
95,2020-04-26,30.0,1516.0
96,2020-04-27,49.0,1565.0
97,2020-04-28,20.0,1585.0
98,2020-04-29,92.0,1677.0
99,2020-04-30,80.0,1757.0
100,2020-05-01,24.0,1781.0
101,2020-05-02,58.0,1839.0
102,2020-05-03,18.0,1857.0
103,2020-05-04,69.0,1926.0
104,2020-05-05,20.0,1946.0
105,2020-05-06,41.0,1987.0
106,2020-05-07,40.0,2027.0
107,2020-05-08,43.0,2070.0
108,2020-05-09,20.0,2090.0
109,2020-05-10,27.0,2117.0
110,2020-05-11,24.0,2141.0
111,2020-05-12,17.0,2158.0
112,2020-05-13,23.0,2181.0
113,2020-05-14,37.0,2218.0
114,2020-05-15,18.0,2236.0
115,2020-05-16,31.0,2267.0
116,2020-05-17,23.0,2290.0
117,2020-05-18,14.0,2304.0
118,2020-05-19,17.0,2321.0
119,2020-05-20,17.0,2338.0
120,2020-05-21,12.0,2350.0
121,2020-05-22,22.0,2372.0
122,2020-05-23,19.0,2391.0
123,2020-05-24,10.0,2401.0
124,2020-05-25,5.0,2406.0
125,2020-05-26,10.0,2416.0
126,2020-05-27,19.0,2435.0
127,2020-05-28,27.0,2462.0
128,2020-05-29,23.0,2485.0
129,2020-05-30,9.0,2494.0
130,2020-05-31,16.0,2510.0
131,2020-06-01,14.0,2524.0
132,2020-06-02,11.0,2535.0
133,2020-06-03,16.0,2551.0
