,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,1.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,0.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,1.0,2.0
42,2020-03-04,2.0,4.0
43,2020-03-05,0.0,4.0
44,2020-03-06,0.0,4.0
45,2020-03-07,0.0,4.0
46,2020-03-08,1.0,5.0
47,2020-03-09,2.0,7.0
48,2020-03-10,1.0,8.0
49,2020-03-11,3.0,11.0
50,2020-03-12,1.0,12.0
51,2020-03-13,1.0,13.0
52,2020-03-14,2.0,15.0
53,2020-03-15,1.0,16.0
54,2020-03-16,2.0,18.0
55,2020-03-17,2.0,20.0
56,2020-03-18,4.0,24.0
57,2020-03-19,1.0,25.0
58,2020-03-20,4.0,29.0
59,2020-03-21,1.0,30.0
60,2020-03-22,4.0,34.0
61,2020-03-23,7.0,41.0
62,2020-03-24,2.0,43.0
63,2020-03-25,33.0,76.0
64,2020-03-26,4.0,80.0
65,2020-03-27,11.0,91.0
66,2020-03-28,16.0,107.0
67,2020-03-29,11.0,118.0
68,2020-03-30,28.0,146.0
69,2020-03-31,29.0,175.0
70,2020-04-01,22.0,197.0
71,2020-04-02,43.0,240.0
72,2020-04-03,35.0,275.0
73,2020-04-04,25.0,300.0
74,2020-04-05,38.0,338.0
75,2020-04-06,30.0,368.0
76,2020-04-07,56.0,424.0
77,2020-04-08,21.0,445.0
78,2020-04-09,40.0,485.0
79,2020-04-10,47.0,532.0
80,2020-04-11,24.0,556.0
81,2020-04-12,52.0,608.0
82,2020-04-13,58.0,666.0
83,2020-04-14,49.0,715.0
84,2020-04-15,70.0,785.0
85,2020-04-16,56.0,841.0
86,2020-04-17,66.0,907.0
87,2020-04-18,27.0,934.0
88,2020-04-19,63.0,997.0
89,2020-04-20,30.0,1027.0
90,2020-04-21,66.0,1093.0
91,2020-04-22,84.0,1177.0
92,2020-04-23,59.0,1236.0
93,2020-04-24,95.0,1331.0
94,2020-04-25,133.0,1464.0
95,2020-04-26,68.0,1532.0
96,2020-04-27,172.0,1704.0
97,2020-04-28,126.0,1830.0
98,2020-04-29,110.0,1940.0
99,2020-04-30,187.0,2127.0
100,2020-05-01,164.0,2291.0
101,2020-05-02,179.0,2470.0
102,2020-05-03,235.0,2705.0
103,2020-05-04,190.0,2895.0
104,2020-05-05,330.0,3225.0
105,2020-05-06,168.0,3393.0
106,2020-05-07,171.0,3564.0
107,2020-05-08,217.0,3781.0
108,2020-05-09,261.0,4042.0
109,2020-05-10,361.0,4403.0
110,2020-05-11,284.0,4687.0
111,2020-05-12,281.0,4968.0
112,2020-05-13,259.0,5227.0
113,2020-05-14,413.0,5640.0
114,2020-05-15,414.0,6054.0
115,2020-05-16,349.0,6403.0
116,2020-05-17,262.0,6665.0
117,2020-05-18,408.0,7073.0
118,2020-05-19,581.0,7654.0
119,2020-05-20,492.0,8146.0
120,2020-05-21,531.0,8677.0
121,2020-05-22,542.0,9219.0
122,2020-05-23,782.0,10001.0
123,2020-05-24,584.0,10585.0
124,2020-05-25,591.0,11176.0
125,2020-05-26,658.0,11834.0
126,2020-05-27,625.0,12459.0
127,2020-05-28,580.0,13039.0
128,2020-05-29,623.0,13662.0
129,2020-05-30,866.0,14528.0
130,2020-05-31,680.0,15208.0
131,2020-06-01,545.0,15753.0
132,2020-06-02,759.0,16512.0
133,2020-06-03,758.0,17270.0
134,2020-06-04,787.0,18057.0
