,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,1.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,4.0,5.0
49,2020-03-11,7.0,12.0
50,2020-03-12,7.0,19.0
51,2020-03-13,16.0,35.0
52,2020-03-14,11.0,46.0
53,2020-03-15,2.0,48.0
54,2020-03-16,7.0,55.0
55,2020-03-17,10.0,65.0
56,2020-03-18,18.0,83.0
57,2020-03-19,20.0,103.0
58,2020-03-20,32.0,135.0
59,2020-03-21,36.0,171.0
60,2020-03-22,51.0,222.0
61,2020-03-23,27.0,249.0
62,2020-03-24,54.0,303.0
63,2020-03-25,81.0,384.0
64,2020-03-26,0.0,384.0
65,2020-03-27,73.0,457.0
66,2020-03-28,202.0,659.0
67,2020-03-29,82.0,741.0
68,2020-03-30,44.0,785.0
69,2020-03-31,115.0,900.0
70,2020-04-01,160.0,1060.0
71,2020-04-02,111.0,1171.0
72,2020-04-03,305.0,1476.0
73,2020-04-04,148.0,1624.0
74,2020-04-05,284.0,1908.0
75,2020-04-06,292.0,2200.0
76,2020-04-07,247.0,2447.0
77,2020-04-08,219.0,2666.0
78,2020-04-09,201.0,2867.0
79,2020-04-10,238.0,3105.0
80,2020-04-11,275.0,3380.0
81,2020-04-12,250.0,3630.0
82,2020-04-13,424.0,4054.0
83,2020-04-14,411.0,4465.0
84,2020-04-15,408.0,4873.0
85,2020-04-16,445.0,5318.0
86,2020-04-17,372.0,5690.0
87,2020-04-18,304.0,5994.0
88,2020-04-19,324.0,6318.0
89,2020-04-20,312.0,6630.0
90,2020-04-21,260.0,6890.0
91,2020-04-22,254.0,7144.0
92,2020-04-23,132.0,7276.0
93,2020-04-24,207.0,7483.0
94,2020-04-25,296.0,7779.0
95,2020-04-26,263.0,8042.0
96,2020-04-27,233.0,8275.0
97,2020-04-28,222.0,8497.0
98,2020-04-29,227.0,8724.0
99,2020-04-30,285.0,9009.0
100,2020-05-01,0.0,9009.0
101,2020-05-02,353.0,9362.0
102,2020-05-03,102.0,9464.0
103,2020-05-04,93.0,9557.0
104,2020-05-05,120.0,9677.0
105,2020-05-06,114.0,9791.0
106,2020-05-07,57.0,9848.0
107,2020-05-08,95.0,9943.0
108,2020-05-09,89.0,10032.0
109,2020-05-10,0.0,10032.0
110,2020-05-11,144.0,10176.0
111,2020-05-12,67.0,10243.0
112,2020-05-13,52.0,10295.0
113,2020-05-14,79.0,10374.0
114,2020-05-15,64.0,10438.0
115,2020-05-16,58.0,10496.0
116,2020-05-17,114.0,10610.0
117,2020-05-18,89.0,10699.0
118,2020-05-19,34.0,10733.0
119,2020-05-20,100.0,10833.0
120,2020-05-21,86.0,10919.0
121,2020-05-22,105.0,11024.0
122,2020-05-23,68.0,11092.0
123,2020-05-24,67.0,11159.0
124,2020-05-25,34.0,11193.0
125,2020-05-26,34.0,11227.0
126,2020-05-27,48.0,11275.0
127,2020-05-28,25.0,11300.0
128,2020-05-29,54.0,11354.0
129,2020-05-30,27.0,11381.0
130,2020-05-31,31.0,11412.0
131,2020-06-01,18.0,11430.0
132,2020-06-02,24.0,11454.0
133,2020-06-03,69.0,11523.0
