,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,1.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,1.0,2.0
39,2020-03-01,0.0,2.0
40,2020-03-02,0.0,2.0
41,2020-03-03,0.0,2.0
42,2020-03-04,2.0,4.0
43,2020-03-05,0.0,4.0
44,2020-03-06,9.0,13.0
45,2020-03-07,0.0,13.0
46,2020-03-08,7.0,20.0
47,2020-03-09,5.0,25.0
48,2020-03-10,6.0,31.0
49,2020-03-11,7.0,38.0
50,2020-03-12,14.0,52.0
51,2020-03-13,99.0,151.0
52,2020-03-14,0.0,151.0
53,2020-03-15,11.0,162.0
54,2020-03-16,38.0,200.0
55,2020-03-17,121.0,321.0
56,2020-03-18,51.0,372.0
57,2020-03-19,249.0,621.0
58,2020-03-20,172.0,793.0
59,2020-03-21,228.0,1021.0
60,2020-03-22,525.0,1546.0
61,2020-03-23,378.0,1924.0
62,2020-03-24,323.0,2247.0
63,2020-03-25,307.0,2554.0
64,2020-03-26,431.0,2985.0
65,2020-03-27,432.0,3417.0
66,2020-03-28,487.0,3904.0
67,2020-03-29,352.0,4256.0
68,2020-03-30,323.0,4579.0
69,2020-03-31,1138.0,5717.0
70,2020-04-01,1119.0,6836.0
71,2020-04-02,1208.0,8044.0
72,2020-04-03,1012.0,9056.0
73,2020-04-04,1304.0,10360.0
74,2020-04-05,770.0,11130.0
75,2020-04-06,1031.0,12161.0
76,2020-04-07,1873.0,14034.0
77,2020-04-08,2136.0,16170.0
78,2020-04-09,1922.0,18092.0
79,2020-04-10,1546.0,19638.0
80,2020-04-11,1089.0,20727.0
81,2020-04-12,1465.0,22192.0
82,2020-04-13,1238.0,23430.0
83,2020-04-14,1832.0,25262.0
84,2020-04-15,3058.0,28320.0
85,2020-04-16,2105.0,30425.0
86,2020-04-17,3257.0,33682.0
87,2020-04-18,2976.0,36658.0
88,2020-04-19,1996.0,38654.0
89,2020-04-20,2089.0,40743.0
90,2020-04-21,2336.0,43079.0
91,2020-04-22,2678.0,45757.0
92,2020-04-23,4279.0,50036.0
93,2020-04-24,4007.0,54043.0
94,2020-04-25,5281.0,59324.0
95,2020-04-26,3776.0,63100.0
96,2020-04-27,4346.0,67446.0
97,2020-04-28,5789.0,73235.0
98,2020-04-29,6450.0,79685.0
99,2020-04-30,7502.0,87187.0
100,2020-05-01,5015.0,92202.0
101,2020-05-02,4898.0,97100.0
102,2020-05-03,4726.0,101826.0
103,2020-05-04,6794.0,108620.0
104,2020-05-05,6835.0,115455.0
105,2020-05-06,11156.0,126611.0
106,2020-05-07,9162.0,135773.0
107,2020-05-08,11121.0,146894.0
108,2020-05-09,9167.0,156061.0
109,2020-05-10,6638.0,162699.0
110,2020-05-11,6895.0,169594.0
111,2020-05-12,8620.0,178214.0
112,2020-05-13,11923.0,190137.0
113,2020-05-14,13028.0,203165.0
114,2020-05-15,17126.0,220291.0
115,2020-05-16,13220.0,233511.0
116,2020-05-17,7569.0,241080.0
117,2020-05-18,14288.0,255368.0
118,2020-05-19,16517.0,271885.0
119,2020-05-20,19694.0,291579.0
120,2020-05-21,18508.0,310087.0
121,2020-05-22,20803.0,330890.0
122,2020-05-23,16508.0,347398.0
123,2020-05-24,15813.0,363211.0
124,2020-05-25,11687.0,374898.0
125,2020-05-26,16324.0,391222.0
126,2020-05-27,20599.0,411821.0
127,2020-05-28,26417.0,438238.0
128,2020-05-29,26928.0,465166.0
129,2020-05-30,33274.0,498440.0
