,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,1.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,0.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,0.0,1.0
47,2020-03-09,0.0,1.0
48,2020-03-10,0.0,1.0
49,2020-03-11,2.0,3.0
50,2020-03-12,0.0,3.0
51,2020-03-13,1.0,4.0
52,2020-03-14,2.0,6.0
53,2020-03-15,3.0,9.0
54,2020-03-16,3.0,12.0
55,2020-03-17,7.0,19.0
56,2020-03-18,8.0,27.0
57,2020-03-19,9.0,36.0
58,2020-03-20,11.0,47.0
59,2020-03-21,22.0,69.0
60,2020-03-22,42.0,111.0
61,2020-03-23,17.0,128.0
62,2020-03-24,38.0,166.0
63,2020-03-25,42.0,208.0
64,2020-03-26,55.0,263.0
65,2020-03-27,29.0,292.0
66,2020-03-28,47.0,339.0
67,2020-03-29,39.0,378.0
68,2020-03-30,46.0,424.0
69,2020-03-31,44.0,468.0
70,2020-04-01,44.0,512.0
71,2020-04-02,67.0,579.0
72,2020-04-03,52.0,631.0
73,2020-04-04,52.0,683.0
74,2020-04-05,33.0,716.0
75,2020-04-06,34.0,750.0
76,2020-04-07,33.0,783.0
77,2020-04-08,38.0,821.0
78,2020-04-09,37.0,858.0
79,2020-04-10,38.0,896.0
80,2020-04-11,30.0,926.0
81,2020-04-12,26.0,952.0
82,2020-04-13,18.0,970.0
83,2020-04-14,7.0,977.0
84,2020-04-15,18.0,995.0
85,2020-04-16,27.0,1022.0
86,2020-04-17,28.0,1050.0
87,2020-04-18,41.0,1091.0
88,2020-04-19,62.0,1153.0
89,2020-04-20,20.0,1173.0
90,2020-04-21,53.0,1226.0
91,2020-04-22,24.0,1250.0
92,2020-04-23,22.0,1272.0
93,2020-04-24,19.0,1291.0
94,2020-04-25,10.0,1301.0
95,2020-04-26,15.0,1316.0
96,2020-04-27,12.0,1328.0
97,2020-04-28,9.0,1337.0
98,2020-04-29,27.0,1364.0
99,2020-04-30,11.0,1375.0
100,2020-05-01,14.0,1389.0
101,2020-05-02,5.0,1394.0
102,2020-05-03,5.0,1399.0
103,2020-05-04,8.0,1407.0
104,2020-05-05,3.0,1410.0
105,2020-05-06,6.0,1416.0
106,2020-05-07,5.0,1421.0
107,2020-05-08,9.0,1430.0
108,2020-05-09,29.0,1459.0
109,2020-05-10,12.0,1471.0
110,2020-05-11,8.0,1479.0
111,2020-05-12,9.0,1488.0
112,2020-05-13,14.0,1502.0
113,2020-05-14,9.0,1511.0
114,2020-05-15,10.0,1521.0
115,2020-05-16,15.0,1536.0
116,2020-05-17,9.0,1545.0
117,2020-05-18,6.0,1551.0
118,2020-05-19,8.0,1559.0
119,2020-05-20,21.0,1580.0
120,2020-05-21,12.0,1592.0
121,2020-05-22,6.0,1598.0
122,2020-05-23,14.0,1612.0
123,2020-05-24,6.0,1618.0
124,2020-05-25,10.0,1628.0
125,2020-05-26,4.0,1632.0
126,2020-05-27,8.0,1640.0
127,2020-05-28,9.0,1649.0
128,2020-05-29,5.0,1654.0
129,2020-05-30,8.0,1662.0
130,2020-05-31,5.0,1667.0
131,2020-06-01,4.0,1671.0
132,2020-06-02,5.0,1676.0
133,2020-06-03,3.0,1679.0
134,2020-06-04,5.0,1684.0
