,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,2.0,2.0
35,2020-02-26,0.0,2.0
36,2020-02-27,1.0,3.0
37,2020-02-28,0.0,3.0
38,2020-02-29,6.0,9.0
39,2020-03-01,5.0,14.0
40,2020-03-02,4.0,18.0
41,2020-03-03,3.0,21.0
42,2020-03-04,8.0,29.0
43,2020-03-05,12.0,41.0
44,2020-03-06,14.0,55.0
45,2020-03-07,24.0,79.0
46,2020-03-08,25.0,104.0
47,2020-03-09,27.0,131.0
48,2020-03-10,51.0,182.0
49,2020-03-11,64.0,246.0
50,2020-03-12,56.0,302.0
51,2020-03-13,202.0,504.0
52,2020-03-14,151.0,655.0
53,2020-03-15,205.0,860.0
54,2020-03-16,158.0,1018.0
55,2020-03-17,314.0,1332.0
56,2020-03-18,314.0,1646.0
57,2020-03-19,367.0,2013.0
58,2020-03-20,375.0,2388.0
59,2020-03-21,426.0,2814.0
60,2020-03-22,768.0,3582.0
61,2020-03-23,892.0,4474.0
62,2020-03-24,809.0,5283.0
63,2020-03-25,305.0,5588.0
64,2020-03-26,1321.0,6909.0
65,2020-03-27,748.0,7657.0
66,2020-03-28,614.0,8271.0
67,2020-03-29,517.0,8788.0
68,2020-03-30,830.0,9618.0
69,2020-03-31,562.0,10180.0
70,2020-04-01,531.0,10711.0
71,2020-04-02,418.0,11129.0
72,2020-04-03,395.0,11524.0
73,2020-04-04,257.0,11781.0
74,2020-04-05,270.0,12051.0
75,2020-04-06,246.0,12297.0
76,2020-04-07,342.0,12639.0
77,2020-04-08,303.0,12942.0
78,2020-04-09,302.0,13244.0
79,2020-04-10,311.0,13555.0
80,2020-04-11,251.0,13806.0
81,2020-04-12,139.0,13945.0
82,2020-04-13,96.0,14041.0
83,2020-04-14,185.0,14226.0
84,2020-04-15,110.0,14336.0
85,2020-04-16,140.0,14476.0
86,2020-04-17,119.0,14595.0
87,2020-04-18,76.0,14671.0
88,2020-04-19,78.0,14749.0
89,2020-04-20,46.0,14795.0
90,2020-04-21,78.0,14873.0
91,2020-04-22,52.0,14925.0
92,2020-04-23,77.0,15002.0
93,2020-04-24,69.0,15071.0
94,2020-04-25,77.0,15148.0
95,2020-04-26,77.0,15225.0
96,2020-04-27,49.0,15274.0
97,2020-04-28,83.0,15357.0
98,2020-04-29,45.0,15402.0
99,2020-04-30,50.0,15452.0
100,2020-05-01,79.0,15531.0
101,2020-05-02,27.0,15558.0
102,2020-05-03,39.0,15597.0
103,2020-05-04,24.0,15621.0
104,2020-05-05,29.0,15650.0
105,2020-05-06,34.0,15684.0
106,2020-05-07,68.0,15752.0
107,2020-05-08,22.0,15774.0
108,2020-05-09,59.0,15833.0
109,2020-05-10,38.0,15871.0
110,2020-05-11,11.0,15882.0
111,2020-05-12,79.0,15961.0
112,2020-05-13,36.0,15997.0
113,2020-05-14,61.0,16058.0
114,2020-05-15,51.0,16109.0
115,2020-05-16,92.0,16201.0
116,2020-05-17,41.0,16242.0
117,2020-05-18,27.0,16269.0
118,2020-05-19,52.0,16321.0
119,2020-05-20,32.0,16353.0
120,2020-05-21,51.0,16404.0
121,2020-05-22,32.0,16436.0
122,2020-05-23,50.0,16486.0
123,2020-05-24,17.0,16503.0
124,2020-05-25,36.0,16539.0
125,2020-05-26,18.0,16557.0
126,2020-05-27,34.0,16591.0
127,2020-05-28,37.0,16628.0
128,2020-05-29,27.0,16655.0
129,2020-05-30,30.0,16685.0
130,2020-05-31,46.0,16731.0
131,2020-06-01,2.0,16733.0
132,2020-06-02,26.0,16759.0
