,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,1.0,1.0
36,2020-02-27,0.0,1.0
37,2020-02-28,0.0,1.0
38,2020-02-29,0.0,1.0
39,2020-03-01,0.0,1.0
40,2020-03-02,0.0,1.0
41,2020-03-03,0.0,1.0
42,2020-03-04,0.0,1.0
43,2020-03-05,0.0,1.0
44,2020-03-06,2.0,3.0
45,2020-03-07,0.0,3.0
46,2020-03-08,0.0,3.0
47,2020-03-09,0.0,3.0
48,2020-03-10,4.0,7.0
49,2020-03-11,0.0,7.0
50,2020-03-12,0.0,7.0
51,2020-03-13,7.0,14.0
52,2020-03-14,0.0,14.0
53,2020-03-15,0.0,14.0
54,2020-03-16,4.0,18.0
55,2020-03-17,8.0,26.0
56,2020-03-18,9.0,35.0
57,2020-03-19,13.0,48.0
58,2020-03-20,19.0,67.0
59,2020-03-21,18.0,85.0
60,2020-03-22,30.0,115.0
61,2020-03-23,21.0,136.0
62,2020-03-24,12.0,148.0
63,2020-03-25,29.0,177.0
64,2020-03-26,24.0,201.0
65,2020-03-27,18.0,219.0
66,2020-03-28,22.0,241.0
67,2020-03-29,18.0,259.0
68,2020-03-30,26.0,285.0
69,2020-03-31,44.0,329.0
70,2020-04-01,25.0,354.0
71,2020-04-02,30.0,384.0
72,2020-04-03,46.0,430.0
73,2020-04-04,53.0,483.0
74,2020-04-05,72.0,555.0
75,2020-04-06,15.0,570.0
76,2020-04-07,29.0,599.0
77,2020-04-08,18.0,617.0
78,2020-04-09,46.0,663.0
79,2020-04-10,48.0,711.0
80,2020-04-11,49.0,760.0
81,2020-04-12,68.0,828.0
82,2020-04-13,26.0,854.0
83,2020-04-14,54.0,908.0
84,2020-04-15,66.0,974.0
85,2020-04-16,107.0,1081.0
86,2020-04-17,36.0,1117.0
87,2020-04-18,53.0,1170.0
88,2020-04-19,37.0,1207.0
89,2020-04-20,18.0,1225.0
90,2020-04-21,6.0,1231.0
91,2020-04-22,28.0,1259.0
92,2020-04-23,41.0,1300.0
93,2020-04-24,26.0,1326.0
94,2020-04-25,41.0,1367.0
95,2020-04-26,19.0,1386.0
96,2020-04-27,13.0,1399.0
97,2020-04-28,22.0,1421.0
98,2020-04-29,21.0,1442.0
99,2020-04-30,23.0,1465.0
100,2020-05-01,29.0,1494.0
101,2020-05-02,12.0,1506.0
102,2020-05-03,5.0,1511.0
103,2020-05-04,7.0,1518.0
104,2020-05-05,8.0,1526.0
105,2020-05-06,13.0,1539.0
106,2020-05-07,33.0,1572.0
107,2020-05-08,14.0,1586.0
108,2020-05-09,36.0,1622.0
109,2020-05-10,20.0,1642.0
110,2020-05-11,22.0,1664.0
111,2020-05-12,10.0,1674.0
112,2020-05-13,20.0,1694.0
113,2020-05-14,29.0,1723.0
114,2020-05-15,17.0,1740.0
115,2020-05-16,22.0,1762.0
116,2020-05-17,30.0,1792.0
117,2020-05-18,25.0,1817.0
118,2020-05-19,22.0,1839.0
119,2020-05-20,19.0,1858.0
120,2020-05-21,40.0,1898.0
121,2020-05-22,23.0,1921.0
122,2020-05-23,20.0,1941.0
123,2020-05-24,37.0,1978.0
124,2020-05-25,21.0,1999.0
125,2020-05-26,15.0,2014.0
126,2020-05-27,25.0,2039.0
127,2020-05-28,38.0,2077.0
128,2020-05-29,52.0,2129.0
129,2020-05-30,35.0,2164.0
130,2020-05-31,62.0,2226.0
131,2020-06-01,89.0,2315.0
132,2020-06-02,76.0,2391.0
133,2020-06-03,101.0,2492.0
134,2020-06-04,119.0,2611.0
