,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,3.0,3.0
50,2020-03-12,0.0,3.0
51,2020-03-13,0.0,3.0
52,2020-03-14,1.0,4.0
53,2020-03-15,0.0,4.0
54,2020-03-16,1.0,5.0
55,2020-03-17,5.0,10.0
56,2020-03-18,4.0,14.0
57,2020-03-19,7.0,21.0
58,2020-03-20,16.0,37.0
59,2020-03-21,30.0,67.0
60,2020-03-22,8.0,75.0
61,2020-03-23,13.0,88.0
62,2020-03-24,34.0,122.0
63,2020-03-25,56.0,178.0
64,2020-03-26,42.0,220.0
65,2020-03-27,69.0,289.0
66,2020-03-28,64.0,353.0
67,2020-03-29,78.0,431.0
68,2020-03-30,82.0,513.0
69,2020-03-31,192.0,705.0
70,2020-04-01,123.0,828.0
71,2020-04-02,183.0,1011.0
72,2020-04-03,132.0,1143.0
73,2020-04-04,140.0,1283.0
74,2020-04-05,164.0,1447.0
75,2020-04-06,185.0,1632.0
76,2020-04-07,403.0,2035.0
77,2020-04-08,205.0,2240.0
78,2020-04-09,283.0,2523.0
79,2020-04-10,496.0,3019.0
80,2020-04-11,327.0,3346.0
81,2020-04-12,254.0,3600.0
82,2020-04-13,303.0,3903.0
83,2020-04-14,254.0,4157.0
84,2020-04-15,283.0,4440.0
85,2020-04-16,417.0,4857.0
86,2020-04-17,306.0,5163.0
87,2020-04-18,290.0,5453.0
88,2020-04-19,230.0,5683.0
89,2020-04-20,145.0,5828.0
90,2020-04-21,170.0,5998.0
91,2020-04-22,264.0,6262.0
92,2020-04-23,228.0,6490.0
93,2020-04-24,189.0,6679.0
94,2020-04-25,238.0,6917.0
95,2020-04-26,177.0,7094.0
96,2020-04-27,113.0,7207.0
97,2020-04-28,124.0,7331.0
98,2020-04-29,170.0,7501.0
99,2020-04-30,93.0,7594.0
100,2020-05-01,109.0,7703.0
101,2020-05-02,62.0,7765.0
102,2020-05-03,79.0,7844.0
103,2020-05-04,80.0,7924.0
104,2020-05-05,92.0,8016.0
105,2020-05-06,323.0,8339.0
106,2020-05-07,76.0,8415.0
107,2020-05-08,106.0,8521.0
108,2020-05-09,60.0,8581.0
109,2020-05-10,75.0,8656.0
110,2020-05-11,51.0,8707.0
111,2020-05-12,54.0,8761.0
112,2020-05-13,82.0,8843.0
113,2020-05-14,60.0,8903.0
114,2020-05-15,56.0,8959.0
115,2020-05-16,46.0,9005.0
116,2020-05-17,47.0,9052.0
117,2020-05-18,28.0,9080.0
118,2020-05-19,28.0,9108.0
119,2020-05-20,42.0,9150.0
120,2020-05-21,36.0,9186.0
121,2020-05-22,26.0,9212.0
122,2020-05-23,25.0,9237.0
123,2020-05-24,43.0,9280.0
124,2020-05-25,32.0,9312.0
125,2020-05-26,22.0,9334.0
126,2020-05-27,30.0,9364.0
127,2020-05-28,24.0,9388.0
128,2020-05-29,42.0,9430.0
129,2020-05-30,23.0,9453.0
130,2020-05-31,14.0,9467.0
131,2020-06-01,19.0,9486.0
132,2020-06-02,19.0,9505.0
133,2020-06-03,17.0,9522.0
