,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,2.0,2.0
29,2020-02-20,0.0,2.0
30,2020-02-21,2.0,4.0
31,2020-02-22,1.0,5.0
32,2020-02-23,3.0,8.0
33,2020-02-24,4.0,12.0
34,2020-02-25,4.0,16.0
35,2020-02-26,3.0,19.0
36,2020-02-27,7.0,26.0
37,2020-02-28,8.0,34.0
38,2020-02-29,9.0,43.0
39,2020-03-01,11.0,54.0
40,2020-03-02,12.0,66.0
41,2020-03-03,11.0,77.0
42,2020-03-04,15.0,92.0
43,2020-03-05,15.0,107.0
44,2020-03-06,17.0,124.0
45,2020-03-07,21.0,145.0
46,2020-03-08,49.0,194.0
47,2020-03-09,43.0,237.0
48,2020-03-10,54.0,291.0
49,2020-03-11,63.0,354.0
50,2020-03-12,75.0,429.0
51,2020-03-13,85.0,514.0
52,2020-03-14,97.0,611.0
53,2020-03-15,113.0,724.0
54,2020-03-16,129.0,853.0
55,2020-03-17,135.0,988.0
56,2020-03-18,147.0,1135.0
57,2020-03-19,149.0,1284.0
58,2020-03-20,149.0,1433.0
59,2020-03-21,123.0,1556.0
60,2020-03-22,129.0,1685.0
61,2020-03-23,127.0,1812.0
62,2020-03-24,122.0,1934.0
63,2020-03-25,143.0,2077.0
64,2020-03-26,157.0,2234.0
65,2020-03-27,144.0,2378.0
66,2020-03-28,139.0,2517.0
67,2020-03-29,123.0,2640.0
68,2020-03-30,117.0,2757.0
69,2020-03-31,141.0,2898.0
70,2020-04-01,138.0,3036.0
71,2020-04-02,124.0,3160.0
72,2020-04-03,134.0,3294.0
73,2020-04-04,158.0,3452.0
74,2020-04-05,151.0,3603.0
75,2020-04-06,136.0,3739.0
76,2020-04-07,133.0,3872.0
77,2020-04-08,121.0,3993.0
78,2020-04-09,117.0,4110.0
79,2020-04-10,122.0,4232.0
80,2020-04-11,125.0,4357.0
81,2020-04-12,117.0,4474.0
82,2020-04-13,111.0,4585.0
83,2020-04-14,98.0,4683.0
84,2020-04-15,94.0,4777.0
85,2020-04-16,92.0,4869.0
86,2020-04-17,89.0,4958.0
87,2020-04-18,73.0,5031.0
88,2020-04-19,87.0,5118.0
89,2020-04-20,91.0,5209.0
90,2020-04-21,88.0,5297.0
91,2020-04-22,94.0,5391.0
92,2020-04-23,90.0,5481.0
93,2020-04-24,93.0,5574.0
94,2020-04-25,76.0,5650.0
95,2020-04-26,60.0,5710.0
96,2020-04-27,96.0,5806.0
97,2020-04-28,71.0,5877.0
98,2020-04-29,80.0,5957.0
99,2020-04-30,71.0,6028.0
100,2020-05-01,63.0,6091.0
101,2020-05-02,65.0,6156.0
102,2020-05-03,47.0,6203.0
103,2020-05-04,74.0,6277.0
104,2020-05-05,63.0,6340.0
105,2020-05-06,78.0,6418.0
106,2020-05-07,68.0,6486.0
107,2020-05-08,55.0,6541.0
108,2020-05-09,48.0,6589.0
109,2020-05-10,51.0,6640.0
110,2020-05-11,45.0,6685.0
111,2020-05-12,48.0,6733.0
112,2020-05-13,50.0,6783.0
113,2020-05-14,71.0,6854.0
114,2020-05-15,48.0,6902.0
115,2020-05-16,35.0,6937.0
116,2020-05-17,51.0,6988.0
117,2020-05-18,69.0,7057.0
118,2020-05-19,62.0,7119.0
119,2020-05-20,64.0,7183.0
120,2020-05-21,66.0,7249.0
121,2020-05-22,51.0,7300.0
122,2020-05-23,59.0,7359.0
123,2020-05-24,58.0,7417.0
124,2020-05-25,34.0,7451.0
125,2020-05-26,57.0,7508.0
126,2020-05-27,56.0,7564.0
127,2020-05-28,63.0,7627.0
128,2020-05-29,50.0,7677.0
129,2020-05-30,57.0,7734.0
130,2020-05-31,63.0,7797.0
131,2020-06-01,81.0,7878.0
132,2020-06-02,64.0,7942.0
