,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,1.0,1.0
31,2020-02-22,1.0,2.0
32,2020-02-23,1.0,3.0
33,2020-02-24,4.0,7.0
34,2020-02-25,3.0,10.0
35,2020-02-26,2.0,12.0
36,2020-02-27,5.0,17.0
37,2020-02-28,4.0,21.0
38,2020-02-29,8.0,29.0
39,2020-03-01,5.0,34.0
40,2020-03-02,18.0,52.0
41,2020-03-03,27.0,79.0
42,2020-03-04,28.0,107.0
43,2020-03-05,41.0,148.0
44,2020-03-06,49.0,197.0
45,2020-03-07,36.0,233.0
46,2020-03-08,133.0,366.0
47,2020-03-09,97.0,463.0
48,2020-03-10,168.0,631.0
49,2020-03-11,196.0,827.0
50,2020-03-12,189.0,1016.0
51,2020-03-13,250.0,1266.0
52,2020-03-14,175.0,1441.0
53,2020-03-15,368.0,1809.0
54,2020-03-16,349.0,2158.0
55,2020-03-17,345.0,2503.0
56,2020-03-18,475.0,2978.0
57,2020-03-19,427.0,3405.0
58,2020-03-20,627.0,4032.0
59,2020-03-21,793.0,4825.0
60,2020-03-22,651.0,5476.0
61,2020-03-23,601.0,6077.0
62,2020-03-24,743.0,6820.0
63,2020-03-25,683.0,7503.0
64,2020-03-26,712.0,8215.0
65,2020-03-27,919.0,9134.0
66,2020-03-28,889.0,10023.0
67,2020-03-29,756.0,10779.0
68,2020-03-30,812.0,11591.0
69,2020-03-31,837.0,12428.0
70,2020-04-01,727.0,13155.0
71,2020-04-02,760.0,13915.0
72,2020-04-03,766.0,14681.0
73,2020-04-04,681.0,15362.0
74,2020-04-05,525.0,15887.0
75,2020-04-06,636.0,16523.0
76,2020-04-07,604.0,17127.0
77,2020-04-08,542.0,17669.0
78,2020-04-09,610.0,18279.0
79,2020-04-10,570.0,18849.0
80,2020-04-11,619.0,19468.0
81,2020-04-12,431.0,19899.0
82,2020-04-13,566.0,20465.0
83,2020-04-14,602.0,21067.0
84,2020-04-15,578.0,21645.0
85,2020-04-16,525.0,22170.0
86,2020-04-17,575.0,22745.0
87,2020-04-18,482.0,23227.0
88,2020-04-19,433.0,23660.0
89,2020-04-20,454.0,24114.0
90,2020-04-21,534.0,24648.0
91,2020-04-22,437.0,25085.0
92,2020-04-23,464.0,25549.0
93,2020-04-24,420.0,25969.0
94,2020-04-25,415.0,26384.0
95,2020-04-26,260.0,26644.0
96,2020-04-27,333.0,26977.0
97,2020-04-28,382.0,27359.0
98,2020-04-29,323.0,27682.0
99,2020-04-30,285.0,27967.0
100,2020-05-01,269.0,28236.0
101,2020-05-02,474.0,28710.0
102,2020-05-03,174.0,28884.0
103,2020-05-04,195.0,29079.0
104,2020-05-05,236.0,29315.0
105,2020-05-06,369.0,29684.0
106,2020-05-07,274.0,29958.0
107,2020-05-08,243.0,30201.0
108,2020-05-09,194.0,30395.0
109,2020-05-10,165.0,30560.0
110,2020-05-11,179.0,30739.0
111,2020-05-12,172.0,30911.0
112,2020-05-13,195.0,31106.0
113,2020-05-14,262.0,31368.0
114,2020-05-15,242.0,31610.0
115,2020-05-16,153.0,31763.0
116,2020-05-17,145.0,31908.0
117,2020-05-18,99.0,32007.0
118,2020-05-19,162.0,32169.0
119,2020-05-20,161.0,32330.0
120,2020-05-21,156.0,32486.0
121,2020-05-22,130.0,32616.0
122,2020-05-23,119.0,32735.0
123,2020-05-24,50.0,32785.0
124,2020-05-25,92.0,32877.0
125,2020-05-26,78.0,32955.0
126,2020-05-27,117.0,33072.0
127,2020-05-28,70.0,33142.0
128,2020-05-29,87.0,33229.0
129,2020-05-30,111.0,33340.0
130,2020-05-31,75.0,33415.0
131,2020-06-01,60.0,33475.0
132,2020-06-02,55.0,33530.0
