,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,1.0,1.0
45,2020-03-07,0.0,1.0
46,2020-03-08,2.0,3.0
47,2020-03-09,0.0,3.0
48,2020-03-10,1.0,4.0
49,2020-03-11,1.0,5.0
50,2020-03-12,0.0,5.0
51,2020-03-13,5.0,10.0
52,2020-03-14,2.0,12.0
53,2020-03-15,8.0,20.0
54,2020-03-16,4.0,24.0
55,2020-03-17,19.0,43.0
56,2020-03-18,15.0,58.0
57,2020-03-19,19.0,77.0
58,2020-03-20,30.0,107.0
59,2020-03-21,30.0,137.0
60,2020-03-22,43.0,180.0
61,2020-03-23,34.0,214.0
62,2020-03-24,63.0,277.0
63,2020-03-25,80.0,357.0
64,2020-03-26,78.0,435.0
65,2020-03-27,112.0,547.0
66,2020-03-28,93.0,640.0
67,2020-03-29,132.0,772.0
68,2020-03-30,93.0,865.0
69,2020-03-31,175.0,1040.0
70,2020-04-01,135.0,1175.0
71,2020-04-02,166.0,1341.0
72,2020-04-03,149.0,1490.0
73,2020-04-04,166.0,1656.0
74,2020-04-05,115.0,1771.0
75,2020-04-06,103.0,1874.0
76,2020-04-07,234.0,2108.0
77,2020-04-08,147.0,2255.0
78,2020-04-09,148.0,2403.0
79,2020-04-10,117.0,2520.0
80,2020-04-11,133.0,2653.0
81,2020-04-12,94.0,2747.0
82,2020-04-13,86.0,2833.0
83,2020-04-14,122.0,2955.0
84,2020-04-15,190.0,3145.0
85,2020-04-16,182.0,3327.0
86,2020-04-17,144.0,3471.0
87,2020-04-18,142.0,3613.0
88,2020-04-19,84.0,3697.0
89,2020-04-20,67.0,3764.0
90,2020-04-21,165.0,3929.0
91,2020-04-22,139.0,4068.0
92,2020-04-23,124.0,4192.0
93,2020-04-24,112.0,4304.0
94,2020-04-25,120.0,4424.0
95,2020-04-26,67.0,4491.0
96,2020-04-27,43.0,4534.0
97,2020-04-28,48.0,4582.0
98,2020-04-29,145.0,4727.0
99,2020-04-30,84.0,4811.0
100,2020-05-01,98.0,4909.0
101,2020-05-02,94.0,5003.0
102,2020-05-03,69.0,5072.0
103,2020-05-04,26.0,5098.0
104,2020-05-05,87.0,5185.0
105,2020-05-06,36.0,5221.0
106,2020-05-07,85.0,5306.0
107,2020-05-08,71.0,5377.0
108,2020-05-09,64.0,5441.0
109,2020-05-10,18.0,5459.0
110,2020-05-11,16.0,5475.0
111,2020-05-12,54.0,5529.0
112,2020-05-13,52.0,5581.0
113,2020-05-14,28.0,5609.0
114,2020-05-15,53.0,5662.0
115,2020-05-16,27.0,5689.0
116,2020-05-17,10.0,5699.0
117,2020-05-18,14.0,5713.0
118,2020-05-19,21.0,5734.0
119,2020-05-20,33.0,5767.0
120,2020-05-21,27.0,5794.0
121,2020-05-22,13.0,5807.0
122,2020-05-23,23.0,5830.0
123,2020-05-24,11.0,5841.0
124,2020-05-25,8.0,5849.0
125,2020-05-26,26.0,5875.0
126,2020-05-27,15.0,5890.0
127,2020-05-28,32.0,5922.0
128,2020-05-29,28.0,5950.0
129,2020-05-30,20.0,5970.0
130,2020-05-31,5.0,5975.0
131,2020-06-01,6.0,5981.0
132,2020-06-02,5.0,5986.0
133,2020-06-03,10.0,5996.0
