,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,1.0,1.0
50,2020-03-12,0.0,1.0
51,2020-03-13,1.0,2.0
52,2020-03-14,0.0,2.0
53,2020-03-15,0.0,2.0
54,2020-03-16,0.0,2.0
55,2020-03-17,1.0,3.0
56,2020-03-18,0.0,3.0
57,2020-03-19,1.0,4.0
58,2020-03-20,1.0,5.0
59,2020-03-21,-1.0,4.0
60,2020-03-22,3.0,7.0
61,2020-03-23,3.0,10.0
62,2020-03-24,0.0,10.0
63,2020-03-25,2.0,12.0
64,2020-03-26,8.0,20.0
65,2020-03-27,0.0,20.0
66,2020-03-28,4.0,24.0
67,2020-03-29,3.0,27.0
68,2020-03-30,5.0,32.0
69,2020-03-31,3.0,35.0
70,2020-04-01,23.0,58.0
71,2020-04-02,14.0,72.0
72,2020-04-03,0.0,72.0
73,2020-04-04,14.0,86.0
74,2020-04-05,13.0,99.0
75,2020-04-06,37.0,136.0
76,2020-04-07,14.0,150.0
77,2020-04-08,28.0,178.0
78,2020-04-09,48.0,226.0
79,2020-04-10,20.0,246.0
80,2020-04-11,42.0,288.0
81,2020-04-12,43.0,331.0
82,2020-04-13,27.0,358.0
83,2020-04-14,35.0,393.0
84,2020-04-15,12.0,405.0
85,2020-04-16,43.0,448.0
86,2020-04-17,38.0,486.0
87,2020-04-18,35.0,521.0
88,2020-04-19,38.0,559.0
89,2020-04-20,33.0,592.0
90,2020-04-21,53.0,645.0
91,2020-04-22,36.0,681.0
92,2020-04-23,40.0,721.0
93,2020-04-24,59.0,780.0
94,2020-04-25,45.0,825.0
95,2020-04-26,56.0,881.0
96,2020-04-27,58.0,939.0
97,2020-04-28,69.0,1008.0
98,2020-04-29,71.0,1079.0
99,2020-04-30,75.0,1154.0
100,2020-05-01,69.0,1223.0
101,2020-05-02,100.0,1323.0
102,2020-05-03,68.0,1391.0
103,2020-05-04,175.0,1566.0
104,2020-05-05,127.0,1693.0
105,2020-05-06,92.0,1785.0
106,2020-05-07,104.0,1889.0
107,2020-05-08,96.0,1985.0
108,2020-05-09,116.0,2101.0
109,2020-05-10,111.0,2212.0
110,2020-05-11,82.0,2294.0
111,2020-05-12,121.0,2415.0
112,2020-05-13,136.0,2551.0
113,2020-05-14,98.0,2649.0
114,2020-05-15,104.0,2753.0
115,2020-05-16,118.0,2871.0
116,2020-05-17,154.0,3025.0
117,2020-05-18,131.0,3156.0
118,2020-05-19,146.0,3302.0
119,2020-05-20,132.0,3434.0
120,2020-05-21,150.0,3584.0
121,2020-05-22,142.0,3726.0
122,2020-05-23,142.0,3868.0
123,2020-05-24,156.0,4024.0
124,2020-05-25,148.0,4172.0
125,2020-05-26,172.0,4344.0
126,2020-05-27,190.0,4534.0
127,2020-05-28,177.0,4711.0
128,2020-05-29,269.0,4980.0
129,2020-05-30,205.0,5185.0
130,2020-05-31,223.0,5408.0
131,2020-06-01,200.0,5608.0
132,2020-06-02,221.0,5829.0
133,2020-06-03,259.0,6088.0
134,2020-06-04,275.0,6363.0
