,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,0.0,0.0
54,2020-03-16,0.0,0.0
55,2020-03-17,0.0,0.0
56,2020-03-18,0.0,0.0
57,2020-03-19,0.0,0.0
58,2020-03-20,3.0,3.0
59,2020-03-21,2.0,5.0
60,2020-03-22,0.0,5.0
61,2020-03-23,0.0,5.0
62,2020-03-24,2.0,7.0
63,2020-03-25,2.0,9.0
64,2020-03-26,0.0,9.0
65,2020-03-27,2.0,11.0
66,2020-03-28,5.0,16.0
67,2020-03-29,2.0,18.0
68,2020-03-30,6.0,24.0
69,2020-03-31,6.0,30.0
70,2020-04-01,8.0,38.0
71,2020-04-02,17.0,55.0
72,2020-04-03,6.0,61.0
73,2020-04-04,12.0,73.0
74,2020-04-05,10.0,83.0
75,2020-04-06,9.0,92.0
76,2020-04-07,15.0,107.0
77,2020-04-08,14.0,121.0
78,2020-04-09,17.0,138.0
79,2020-04-10,31.0,169.0
80,2020-04-11,12.0,181.0
81,2020-04-12,12.0,193.0
82,2020-04-13,23.0,216.0
83,2020-04-14,14.0,230.0
84,2020-04-15,24.0,254.0
85,2020-04-16,20.0,274.0
86,2020-04-17,26.0,300.0
87,2020-04-18,48.0,348.0
88,2020-04-19,52.0,400.0
89,2020-04-20,45.0,445.0
90,2020-04-21,39.0,484.0
91,2020-04-22,46.0,530.0
92,2020-04-23,42.0,572.0
93,2020-04-24,62.0,634.0
94,2020-04-25,66.0,700.0
95,2020-04-26,28.0,728.0
96,2020-04-27,54.0,782.0
97,2020-04-28,72.0,854.0
98,2020-04-29,89.0,943.0
99,2020-04-30,108.0,1051.0
100,2020-05-01,73.0,1124.0
101,2020-05-02,76.0,1200.0
102,2020-05-03,86.0,1286.0
103,2020-05-04,58.0,1344.0
104,2020-05-05,100.0,1444.0
105,2020-05-06,89.0,1533.0
106,2020-05-07,94.0,1627.0
107,2020-05-08,87.0,1714.0
108,2020-05-09,100.0,1814.0
109,2020-05-10,75.0,1889.0
110,2020-05-11,72.0,1961.0
111,2020-05-12,96.0,2057.0
112,2020-05-13,112.0,2169.0
113,2020-05-14,98.0,2267.0
114,2020-05-15,125.0,2392.0
115,2020-05-16,131.0,2523.0
116,2020-05-17,125.0,2648.0
117,2020-05-18,141.0,2789.0
118,2020-05-19,125.0,2914.0
119,2020-05-20,110.0,3024.0
120,2020-05-21,124.0,3148.0
121,2020-05-22,96.0,3244.0
122,2020-05-23,129.0,3373.0
123,2020-05-24,83.0,3456.0
124,2020-05-25,173.0,3629.0
125,2020-05-26,159.0,3788.0
126,2020-05-27,195.0,3983.0
127,2020-05-28,116.0,4099.0
128,2020-05-29,131.0,4230.0
129,2020-05-30,141.0,4371.0
130,2020-05-31,135.0,4506.0
131,2020-06-01,128.0,4634.0
132,2020-06-02,133.0,4767.0
133,2020-06-03,127.0,4894.0
134,2020-06-04,137.0,5031.0
