,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,0.0,0.0
42,2020-03-04,0.0,0.0
43,2020-03-05,0.0,0.0
44,2020-03-06,0.0,0.0
45,2020-03-07,0.0,0.0
46,2020-03-08,0.0,0.0
47,2020-03-09,0.0,0.0
48,2020-03-10,0.0,0.0
49,2020-03-11,0.0,0.0
50,2020-03-12,0.0,0.0
51,2020-03-13,0.0,0.0
52,2020-03-14,0.0,0.0
53,2020-03-15,0.0,0.0
54,2020-03-16,0.0,0.0
55,2020-03-17,1.0,1.0
56,2020-03-18,2.0,3.0
57,2020-03-19,3.0,6.0
58,2020-03-20,5.0,11.0
59,2020-03-21,4.0,15.0
60,2020-03-22,10.0,25.0
61,2020-03-23,9.0,34.0
62,2020-03-24,12.0,46.0
63,2020-03-25,13.0,59.0
64,2020-03-26,18.0,77.0
65,2020-03-27,15.0,92.0
66,2020-03-28,19.0,111.0
67,2020-03-29,25.0,136.0
68,2020-03-30,23.0,159.0
69,2020-03-31,42.0,201.0
70,2020-04-01,39.0,240.0
71,2020-04-02,84.0,324.0
72,2020-04-03,35.0,359.0
73,2020-04-04,86.0,445.0
74,2020-04-05,41.0,486.0
75,2020-04-06,78.0,564.0
76,2020-04-07,122.0,686.0
77,2020-04-08,133.0,819.0
78,2020-04-09,131.0,950.0
79,2020-04-10,107.0,1057.0
80,2020-04-11,67.0,1124.0
81,2020-04-12,99.0,1223.0
82,2020-04-13,105.0,1328.0
83,2020-04-14,204.0,1532.0
84,2020-04-15,204.0,1736.0
85,2020-04-16,188.0,1924.0
86,2020-04-17,217.0,2141.0
87,2020-04-18,213.0,2354.0
88,2020-04-19,108.0,2462.0
89,2020-04-20,125.0,2587.0
90,2020-04-21,154.0,2741.0
91,2020-04-22,165.0,2906.0
92,2020-04-23,425.0,3331.0
93,2020-04-24,373.0,3704.0
94,2020-04-25,353.0,4057.0
95,2020-04-26,229.0,4286.0
96,2020-04-27,317.0,4603.0
97,2020-04-28,480.0,5083.0
98,2020-04-29,430.0,5513.0
99,2020-04-30,493.0,6006.0
100,2020-05-01,406.0,6412.0
101,2020-05-02,349.0,6761.0
102,2020-05-03,290.0,7051.0
103,2020-05-04,316.0,7367.0
104,2020-05-05,571.0,7938.0
105,2020-05-06,650.0,8588.0
106,2020-05-07,602.0,9190.0
107,2020-05-08,827.0,10017.0
108,2020-05-09,639.0,10656.0
109,2020-05-10,467.0,11123.0
110,2020-05-11,530.0,11653.0
111,2020-05-12,808.0,12461.0
112,2020-05-13,779.0,13240.0
113,2020-05-14,759.0,13999.0
114,2020-05-15,963.0,14962.0
115,2020-05-16,700.0,15662.0
116,2020-05-17,456.0,16118.0
117,2020-05-18,735.0,16853.0
118,2020-05-19,1130.0,17983.0
119,2020-05-20,876.0,18859.0
120,2020-05-21,1188.0,20047.0
121,2020-05-22,1001.0,21048.0
122,2020-05-23,965.0,22013.0
123,2020-05-24,653.0,22666.0
124,2020-05-25,807.0,23473.0
125,2020-05-26,1039.0,24512.0
126,2020-05-27,1086.0,25598.0
127,2020-05-28,1156.0,26754.0
128,2020-05-29,1124.0,27878.0
129,2020-05-30,956.0,28834.0
130,2020-05-31,480.0,29314.0
131,2020-06-01,623.0,29937.0
132,2020-06-02,1262.0,31199.0
133,2020-06-03,1349.0,32548.0
