,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,0.0,0.0
25,2020-02-16,0.0,0.0
26,2020-02-17,0.0,0.0
27,2020-02-18,0.0,0.0
28,2020-02-19,0.0,0.0
29,2020-02-20,0.0,0.0
30,2020-02-21,0.0,0.0
31,2020-02-22,0.0,0.0
32,2020-02-23,0.0,0.0
33,2020-02-24,0.0,0.0
34,2020-02-25,0.0,0.0
35,2020-02-26,0.0,0.0
36,2020-02-27,0.0,0.0
37,2020-02-28,0.0,0.0
38,2020-02-29,0.0,0.0
39,2020-03-01,0.0,0.0
40,2020-03-02,0.0,0.0
41,2020-03-03,1.0,1.0
42,2020-03-04,1.0,2.0
43,2020-03-05,1.0,3.0
44,2020-03-06,2.0,5.0
45,2020-03-07,5.0,10.0
46,2020-03-08,7.0,17.0
47,2020-03-09,11.0,28.0
48,2020-03-10,7.0,35.0
49,2020-03-11,19.0,54.0
50,2020-03-12,1.0,55.0
51,2020-03-13,78.0,133.0
52,2020-03-14,62.0,195.0
53,2020-03-15,94.0,289.0
54,2020-03-16,53.0,342.0
55,2020-03-17,191.0,533.0
56,2020-03-18,90.0,623.0
57,2020-03-19,207.0,830.0
58,2020-03-20,213.0,1043.0
59,2020-03-21,332.0,1375.0
60,2020-03-22,397.0,1772.0
61,2020-03-23,539.0,2311.0
62,2020-03-24,497.0,2808.0
63,2020-03-25,839.0,3647.0
64,2020-03-26,718.0,4365.0
65,2020-03-27,773.0,5138.0
66,2020-03-28,844.0,5982.0
67,2020-03-29,821.0,6803.0
68,2020-03-30,913.0,7716.0
69,2020-03-31,748.0,8464.0
70,2020-04-01,923.0,9387.0
71,2020-04-02,961.0,10348.0
72,2020-04-03,850.0,11198.0
73,2020-04-04,749.0,11947.0
74,2020-04-05,694.0,12641.0
75,2020-04-06,700.0,13341.0
76,2020-04-07,704.0,14045.0
77,2020-04-08,747.0,14792.0
78,2020-04-09,655.0,15447.0
79,2020-04-10,634.0,16081.0
80,2020-04-11,525.0,16606.0
81,2020-04-12,603.0,17209.0
82,2020-04-13,547.0,17756.0
83,2020-04-14,300.0,18056.0
84,2020-04-15,652.0,18708.0
85,2020-04-16,607.0,19315.0
86,2020-04-17,687.0,20002.0
87,2020-04-18,41.0,20043.0
88,2020-04-19,410.0,20453.0
89,2020-04-20,399.0,20852.0
90,2020-04-21,430.0,21282.0
91,2020-04-22,435.0,21717.0
92,2020-04-23,440.0,22157.0
93,2020-04-24,367.0,22524.0
94,2020-04-25,378.0,22902.0
95,2020-04-26,288.0,23190.0
96,2020-04-27,331.0,23521.0
97,2020-04-28,301.0,23822.0
98,2020-04-29,453.0,24275.0
99,2020-04-30,268.0,24543.0
100,2020-05-01,0.0,24543.0
101,2020-05-02,557.0,25100.0
102,2020-05-03,164.0,25264.0
103,2020-05-04,164.0,25428.0
104,2020-05-05,185.0,25613.0
105,2020-05-06,244.0,25857.0
106,2020-05-07,213.0,26070.0
107,2020-05-08,229.0,26299.0
108,2020-05-09,179.0,26478.0
109,2020-05-10,143.0,26621.0
110,2020-05-11,123.0,26744.0
111,2020-05-12,176.0,26920.0
112,2020-05-13,184.0,27104.0
113,2020-05-14,217.0,27321.0
114,2020-05-15,138.0,27459.0
115,2020-05-16,104.0,27563.0
116,2020-05-17,0.0,27563.0
117,2020-05-18,146.0,27709.0
118,2020-05-19,69.0,27778.0
119,2020-05-20,110.0,27888.0
120,2020-05-21,52.0,27940.0
121,2020-05-22,688.0,28628.0
122,2020-05-23,50.0,28678.0
123,2020-05-24,74.0,28752.0
124,2020-05-25,-1918.0,26834.0
125,2020-05-26,283.0,27117.0
126,2020-05-27,0.0,27117.0
127,2020-05-28,2.0,27119.0
128,2020-05-29,2.0,27121.0
129,2020-05-30,4.0,27125.0
130,2020-05-31,2.0,27127.0
131,2020-06-01,0.0,27127.0
132,2020-06-02,0.0,27127.0
