,dates,cases,cumul
0,2020-01-22,0.0,0.0
1,2020-01-23,0.0,0.0
2,2020-01-24,0.0,0.0
3,2020-01-25,0.0,0.0
4,2020-01-26,0.0,0.0
5,2020-01-27,0.0,0.0
6,2020-01-28,0.0,0.0
7,2020-01-29,0.0,0.0
8,2020-01-30,0.0,0.0
9,2020-01-31,0.0,0.0
10,2020-02-01,0.0,0.0
11,2020-02-02,0.0,0.0
12,2020-02-03,0.0,0.0
13,2020-02-04,0.0,0.0
14,2020-02-05,0.0,0.0
15,2020-02-06,0.0,0.0
16,2020-02-07,0.0,0.0
17,2020-02-08,0.0,0.0
18,2020-02-09,0.0,0.0
19,2020-02-10,0.0,0.0
20,2020-02-11,0.0,0.0
21,2020-02-12,0.0,0.0
22,2020-02-13,0.0,0.0
23,2020-02-14,0.0,0.0
24,2020-02-15,1.0,1.0
25,2020-02-16,0.0,1.0
26,2020-02-17,0.0,1.0
27,2020-02-18,0.0,1.0
28,2020-02-19,0.0,1.0
29,2020-02-20,0.0,1.0
30,2020-02-21,0.0,1.0
31,2020-02-22,0.0,1.0
32,2020-02-23,0.0,1.0
33,2020-02-24,0.0,1.0
34,2020-02-25,0.0,1.0
35,2020-02-26,1.0,2.0
36,2020-02-27,0.0,2.0
37,2020-02-28,0.0,2.0
38,2020-02-29,0.0,2.0
39,2020-03-01,0.0,2.0
40,2020-03-02,1.0,3.0
41,2020-03-03,1.0,4.0
42,2020-03-04,0.0,4.0
43,2020-03-05,3.0,7.0
44,2020-03-06,2.0,9.0
45,2020-03-07,7.0,16.0
46,2020-03-08,3.0,19.0
47,2020-03-09,6.0,25.0
48,2020-03-10,8.0,33.0
49,2020-03-11,15.0,48.0
50,2020-03-12,0.0,48.0
51,2020-03-13,31.0,79.0
52,2020-03-14,12.0,91.0
53,2020-03-15,0.0,91.0
54,2020-03-16,58.0,149.0
55,2020-03-17,0.0,149.0
56,2020-03-18,0.0,149.0
57,2020-03-19,95.0,244.0
58,2020-03-20,207.0,451.0
59,2020-03-21,112.0,563.0
60,2020-03-22,113.0,676.0
61,2020-03-23,186.0,862.0
62,2020-03-24,240.0,1102.0
63,2020-03-25,231.0,1333.0
64,2020-03-26,364.0,1697.0
65,2020-03-27,299.0,1996.0
66,2020-03-28,318.0,2314.0
67,2020-03-29,294.0,2608.0
68,2020-03-30,418.0,3026.0
69,2020-03-31,500.0,3526.0
70,2020-04-01,1252.0,4778.0
71,2020-04-02,609.0,5387.0
72,2020-04-03,1122.0,6509.0
73,2020-04-04,1053.0,7562.0
74,2020-04-05,519.0,8081.0
75,2020-04-06,833.0,8914.0
76,2020-04-07,1416.0,10330.0
77,2020-04-08,544.0,10874.0
78,2020-04-09,1340.0,12214.0
79,2020-04-10,985.0,13199.0
80,2020-04-11,636.0,13835.0
81,2020-04-12,561.0,14396.0
82,2020-04-13,573.0,14969.0
83,2020-04-14,743.0,15712.0
84,2020-04-15,1438.0,17150.0
85,2020-04-16,753.0,17903.0
86,2020-04-17,761.0,18664.0
87,2020-04-18,641.0,19305.0
88,2020-04-19,389.0,19694.0
89,2020-04-20,547.0,20241.0
90,2020-04-21,528.0,20769.0
91,2020-04-22,544.0,21313.0
92,2020-04-23,516.0,21829.0
93,2020-04-24,390.0,22219.0
94,2020-04-25,369.0,22588.0
95,2020-04-26,242.0,22830.0
96,2020-04-27,437.0,23267.0
97,2020-04-28,367.0,23634.0
98,2020-04-29,426.0,24060.0
99,2020-04-30,289.0,24349.0
100,2020-05-01,217.0,24566.0
101,2020-05-02,197.0,24763.0
102,2020-05-03,135.0,24898.0
103,2020-05-04,306.0,25204.0
104,2020-05-05,333.0,25537.0
105,2020-05-06,275.0,25812.0
106,2020-05-07,179.0,25991.0
107,2020-05-08,242.0,26233.0
108,2020-05-09,80.0,26313.0
109,2020-05-10,70.0,26383.0
110,2020-05-11,263.0,26646.0
111,2020-05-12,348.0,26994.0
112,2020-05-13,85.0,27079.0
113,2020-05-14,351.0,27430.0
114,2020-05-15,102.0,27532.0
115,2020-05-16,98.0,27630.0
116,2020-05-17,483.0,28113.0
117,2020-05-18,129.0,28242.0
118,2020-05-19,-217.0,28025.0
119,2020-05-20,111.0,28136.0
120,2020-05-21,82.0,28218.0
121,2020-05-22,148.0,28366.0
122,2020-05-23,86.0,28452.0
123,2020-05-24,-80.0,28372.0
124,2020-05-25,89.0,28461.0
125,2020-05-26,137.0,28598.0
126,2020-05-27,1.0,28599.0
127,2020-05-28,67.0,28666.0
128,2020-05-29,51.0,28717.0
129,2020-05-30,57.0,28774.0
130,2020-05-31,31.0,28805.0
131,2020-06-01,32.0,28837.0
132,2020-06-02,106.0,28943.0
